"ken","kuno","kucode","kuname","通勤者・通学者数_総数","通勤者・通学者数_徒歩のみ","通勤者・通学者数_鉄道・電車","通勤者・通学者数_乗合バス","通勤者・通学者数_勤め先・学校のバス","通勤者・通学者数_自家用車","通勤者・通学者数_ハイヤー・タクシー","通勤者・通学者数_オートバイ","通勤者・通学者数_自転車","通勤者・通学者数_その他","通勤者・通学者数_利用交通手段「不詳」"
40,4,4004,"福岡4区",118831,5450,24994,7315,1001,70280,190,6404,10771,3014,3205
40,5,4005,"福岡5区",127221,6689,32702,8570,1311,65298,192,7779,16457,3520,4206
40,6,4006,"福岡6区",106910,7180,13945,3506,1015,69255,126,4179,12622,1960,2700
40,7,4007,"福岡7区",75088,3228,5683,1305,744,54792,48,3136,7707,1396,2316
40,8,4008,"福岡8区",94040,5057,8185,2268,973,70605,85,2202,6420,1862,2237
40,9,4009,"福岡9区",108060,8206,12918,8595,878,68672,219,3392,8545,2347,3077
40,10,4010,"福岡10区",111830,9799,14720,9681,864,64418,303,3588,10587,3443,3729
40,11,4011,"福岡11区",69483,3679,5438,592,823,53111,42,1343,5112,1123,1673
41,1,4101,"佐賀1区",101591,5160,7402,2242,690,70621,99,2970,15497,1626,2441
41,2,4102,"佐賀2区",97819,4547,4524,1441,1991,77897,309,1585,6563,1762,1596
42,1,4201,"長崎1区",97405,11542,6689,17064,1407,46132,354,12949,2221,2839,2923
42,2,4202,"長崎2区",113787,9070,5612,5399,2194,80353,134,5227,6234,2909,2319
42,3,4203,"長崎3区",103882,13466,3248,5112,1378,69164,248,5994,4178,3732,2048
43,1,4301,"熊本1区",127349,11333,5991,6281,742,71765,335,10761,23158,2661,4034
43,2,4302,"熊本2区",87689,3901,4448,2351,650,61414,134,5602,10952,1713,2421
43,3,4303,"熊本3区",88897,3630,2980,1494,702,70533,53,4804,6743,1402,1067
43,4,4304,"熊本4区",100866,5311,3513,1097,968,78401,118,3296,9468,2486,1287
44,1,4401,"大分1区",120390,7811,4646,3795,938,83617,148,6283,16231,1981,2172
44,2,4402,"大分2区",68784,4672,2155,426,803,53743,68,2219,5411,1284,895
44,3,4403,"大分3区",81674,6201,3521,1598,1098,60640,105,2844,6038,1334,1954
45,1,4501,"宮崎1区",97891,5738,1846,3153,649,68144,140,4813,14402,1715,2672
45,2,4502,"宮崎2区",74192,4612,1495,613,797,56796,61,2513,7675,1300,1226
45,3,4503,"宮崎3区",71966,3809,1201,321,672,57598,57,1687,6025,1521,1028
46,1,4601,"鹿児島1区",100539,9427,5299,7759,1443,56393,270,10091,12501,2814,2651
46,2,4602,"鹿児島2区",94246,6896,4231,1945,1523,67313,101,8063,5959,1962,1390
46,3,4603,"鹿児島3区",88859,5718,4116,1005,1982,69408,280,3071,4989,1351,1152
46,4,4604,"鹿児島4区",88013,6673,1509,662,1474,69574,46,3255,4768,1506,1737
47,1,4701,"沖縄1区",72622,10122,4472,4808,681,34745,667,13265,5029,2171,2350
47,2,4702,"沖縄2区",78890,5057,867,4559,914,54992,232,8732,3395,2008,3095
47,3,4703,"沖縄3区",80702,5626,91,2432,1560,62605,166,2671,2694,2187,3532
47,4,4704,"沖縄4区",83980,5567,314,2982,858,58881,240,10389,5085,2083,2527
