"ken","kuno","kucode","kuname","人口_常住者（現住地による人口）","人口_現住所","人口_移動あり（5年前の常住市区町村「不詳」を除く）","人口_国内から","人口_自市町村内から","人口_自区内から","人口_自市内他区から","人口_県内他市町村から","人口_他県から","人口_国外から","人口_5年前の常住市区町村「不詳」","人口_移動状況「不詳」"
34,4,3404,"広島4区",487115,358967,97732,92696,47179,0,0,21318,24199,5036,274,30142
34,5,3405,"広島5区",367087,291171,61615,57348,32189,0,0,14586,10573,4267,125,14176
34,6,3406,"広島6区",460930,329273,84048,80800,53669,0,0,10144,16987,3248,216,47393
35,1,3501,"山口1区",470515,338155,102552,100562,55402,0,0,20200,24960,1990,147,29661
35,2,3502,"山口2区",452720,339698,79210,77354,41732,0,0,18447,17175,1856,144,33668
35,3,3503,"山口3区",418824,319285,79405,77111,48744,0,0,10979,17388,2294,139,19995
36,1,3601,"徳島1区",421455,308892,76038,74434,39685,0,0,17159,17590,1604,159,36366
36,2,3602,"徳島2区",298104,241766,44585,43070,20104,0,0,14958,8008,1515,119,11634
37,1,3701,"香川1区",371090,250994,78428,77153,42841,0,0,7797,26515,1275,113,41555
37,2,3702,"香川2区",297585,236263,42997,41011,20681,0,0,11774,8556,1986,103,18222
37,3,3703,"香川3区",281569,216168,47327,44566,21325,0,0,12114,11127,2761,178,17896
38,1,3801,"愛媛1区",511192,326883,99177,98220,60463,0,0,14666,23091,957,238,84894
38,2,3802,"愛媛2区",461664,350788,80274,75637,48684,0,0,12015,14938,4637,130,30472
38,3,3803,"愛媛3区",361985,292637,57356,56059,29268,0,0,17950,8841,1297,134,11858
39,1,3901,"高知1区",364016,253088,68094,66882,35572,0,0,16560,14750,1212,159,42675
39,2,3902,"高知2区",327511,242463,52783,51661,29601,0,0,12305,9755,1122,137,32128
40,1,4001,"福岡1区",541619,281992,150543,146898,72626,51564,21062,24605,49667,3645,347,108737
40,2,4002,"福岡2区",558742,302599,147964,144560,82158,50704,31454,18437,43965,3404,290,107889
40,3,4003,"福岡3区",548397,350307,136267,132793,72520,42325,22528,19278,40995,3474,358,61465
40,4,4004,"福岡4区",489902,340938,103943,101915,35621,3672,670,45383,20911,2028,318,44703
40,5,4005,"福岡5区",551051,376269,108284,106830,40664,3263,991,41296,24870,1454,492,66006
40,6,4006,"福岡6区",452986,322266,94248,91534,46639,0,0,23768,21127,2714,183,36289
40,7,4007,"福岡7区",341021,260465,59337,57806,31811,0,0,16003,9992,1531,203,21016
40,8,4008,"福岡8区",411207,305867,77426,75671,35953,0,0,29429,10289,1755,164,27750
40,9,4009,"福岡9区",452752,318450,91120,89551,61903,45583,16320,12222,15426,1569,231,42951
40,10,4010,"福岡10区",486277,315132,104509,103063,69582,52137,17445,10988,22493,1446,207,66429
40,11,4011,"福岡11区",301260,230514,56468,55065,25320,0,0,20466,9279,1403,103,14175
41,1,4101,"佐賀1区",406889,288805,88369,86498,42895,0,0,15607,27996,1871,192,29523
41,2,4102,"佐賀2区",404553,323070,71249,69523,39427,0,0,15156,14940,1726,139,10095
42,1,4201,"長崎1区",409118,296152,86895,85531,55021,0,0,12314,18196,1364,170,25901
42,2,4202,"長崎2区",479582,368032,97612,95661,48665,0,0,27232,19764,1951,170,13768
42,3,4203,"長崎3区",423617,319711,89471,87765,50645,0,0,17121,19999,1706,152,14283
43,1,4301,"熊本1区",516859,325460,133281,131424,79166,56805,22361,19632,32626,1857,310,57808
43,2,4302,"熊本2区",375868,273984,78201,76085,48132,22722,11907,13534,14419,2116,151,23532
43,3,4303,"熊本3区",376435,282432,77371,74995,33222,0,0,28692,13081,2376,94,16538
43,4,4304,"熊本4区",469139,365834,85711,82763,48938,0,0,21565,12260,2948,110,17484
44,1,4401,"大分1区",463837,320186,110504,109471,71324,0,0,14558,23589,1033,184,32963
44,2,4402,"大分2区",303269,241940,52024,50673,30091,0,0,10955,9627,1351,55,9250
44,3,4403,"大分3区",356746,257072,69529,66393,35638,0,0,14721,16034,3136,152,29993
45,1,4501,"宮崎1区",426671,282267,94842,93684,58842,0,0,14102,20740,1158,145,49417
45,2,4502,"宮崎2区",319057,242362,64502,63293,37363,0,0,15404,10526,1209,70,12123
45,3,4503,"宮崎3区",323848,240990,67891,65887,39805,0,0,12493,13589,2004,80,14887
46,1,4601,"鹿児島1区",424890,275893,107235,106003,66719,0,0,18181,21103,1232,137,41625
46,2,4602,"鹿児島2区",398675,286321,95337,93708,55648,0,0,21805,16255,1629,93,16924
46,3,4603,"鹿児島3区",378178,285969,83279,81096,43071,0,0,24347,13678,2183,134,8796
46,4,4604,"鹿児島4区",386513,281211,85034,82957,45065,0,0,21695,16197,2077,158,20110
47,1,4701,"沖縄1区",329331,188246,72210,70254,37822,0,0,14894,17538,1956,176,68699
47,2,4702,"沖縄2区",373853,213006,72301,70240,32466,0,0,27494,10280,2061,287,88259
47,3,4703,"沖縄3区",396314,231162,80958,78976,42708,0,0,24294,11974,1982,344,83850
47,4,4704,"沖縄4区",367982,231226,84751,83344,34313,0,0,32469,16562,1407,194,51811
