"ken","kuno","kucode","kuname","人口_常住者（現住地による人口）","人口_現住所","人口_移動あり（5年前の常住市区町村「不詳」を除く）","人口_国内から","人口_自市町村内から","人口_自区内から","人口_自市内他区から","人口_県内他市町村から","人口_他県から","人口_国外から","人口_5年前の常住市区町村「不詳」","人口_移動状況「不詳」"
13,20,1320,"東京20区",242318,155733,38385,37542,12306,0,0,15214,10022,843,88,48112
13,21,1321,"東京21区",245530,143237,46889,45578,13889,0,0,14943,16746,1311,57,55347
13,22,1322,"東京22区",252576,137972,53046,50976,14632,0,0,18803,17541,2070,87,61471
13,23,1323,"東京23区",210533,139353,36026,34943,12968,0,0,5364,16611,1083,51,35103
13,24,1324,"東京24区",231886,144571,40604,39257,16595,0,0,8876,13786,1347,72,46639
13,25,1325,"東京25区",245648,167995,39261,38188,14264,0,0,15285,8639,1073,123,38269
13,26,1326,"東京26区",248189,125397,52006,48291,28198,15083,13115,1692,18401,3715,62,70724
13,27,1327,"東京27区",230862,101659,48587,45957,25236,12151,13085,3555,17166,2630,48,80568
13,28,1328,"東京28区",184476,95518,40081,38399,21882,12555,9327,1935,14582,1682,38,48839
13,29,1329,"東京29区",220048,119719,36554,35030,22411,13219,9192,1086,11533,1524,100,63675
13,30,1330,"東京30区",249958,155877,49645,47956,15728,0,0,14832,17396,1689,200,44236
14,1,1401,"神奈川1区",256212,161649,47045,44875,26149,15519,10630,4955,13771,2170,96,47422
14,2,1402,"神奈川2区",257045,158680,47794,45977,27066,13856,13210,4796,14115,1817,92,50479
14,3,1403,"神奈川3区",279449,161600,54208,52021,24701,15721,8980,6268,21052,2187,84,63557
14,4,1404,"神奈川4区",181243,129320,29535,28454,11740,3116,2255,8364,8350,1081,64,22324
14,5,1405,"神奈川5区",212243,149588,39003,37745,22956,13379,9577,4894,9895,1258,81,23571
14,6,1406,"神奈川6区",220200,147759,36606,35473,22394,11969,10425,3614,9465,1133,52,35783
14,7,1407,"神奈川7区",179150,102932,39470,38010,17587,11938,5649,4180,16243,1460,24,36724
14,8,1408,"神奈川8区",240519,155690,47621,45340,23905,15949,7956,5418,16017,2281,54,37154
14,9,1409,"神奈川9区",200369,115829,41722,40221,16878,12753,4125,4630,18713,1501,63,42755
14,10,1410,"神奈川10区",211796,120838,44991,43311,18773,14581,4192,6732,17806,1680,66,45901
14,11,1411,"神奈川11区",213655,155403,35393,34600,16985,0,0,6676,10939,793,82,22777
14,12,1412,"神奈川12区",240062,161224,48536,46965,20155,0,0,13651,13159,1571,93,30209
14,13,1413,"神奈川13区",221518,155665,39686,38694,19275,3646,2446,11270,8149,992,282,25885
14,14,1414,"神奈川14区",245221,165981,39068,37867,19405,14937,3276,6533,11929,1201,69,40103
14,15,1415,"神奈川15区",262075,180607,42775,41813,18857,0,0,12525,10431,962,150,38543
14,16,1416,"神奈川16区",235460,169609,45152,43325,16366,0,0,13855,13104,1827,86,20613
14,17,1417,"神奈川17区",258413,193422,42556,41352,17012,0,0,13117,11223,1204,109,22326
14,18,1418,"神奈川18区",250221,139765,58939,56690,23020,16837,6183,7213,26457,2249,47,51470
14,19,1419,"神奈川19区",218005,136750,44915,42803,22201,15439,6762,4851,15751,2112,71,36269
14,20,1420,"神奈川20区",205412,138260,35818,34770,13696,9244,1158,10401,10673,1048,66,31268
15,1,1501,"新潟1区",208255,147415,42368,41821,23831,14807,7262,6510,11480,547,44,18428
15,2,1502,"新潟2区",229839,183618,34032,33323,18873,8500,3924,7510,6940,709,42,12147
15,3,1503,"新潟3区",215984,179113,28746,28177,15380,4197,2126,7484,5313,569,47,8078
15,4,1504,"新潟4区",211669,166269,32099,31488,16548,0,0,7979,6961,611,19,13282
15,5,1505,"新潟5区",202923,166595,29000,28347,15926,0,0,6127,6294,653,45,7283
16,1,1601,"富山1区",157218,113915,32495,31290,16331,0,0,3599,11360,1205,53,10755
16,2,1602,"富山2区",139451,115947,18109,17015,8491,0,0,4516,4008,1094,16,5379
16,3,1603,"富山3区",205968,169207,27667,25790,12536,0,0,6640,6614,1877,42,9052
17,1,1701,"石川1区",224549,147515,47795,46769,22382,0,0,6028,18359,1026,74,29165
17,2,1702,"石川2区",192500,147883,35229,33047,12703,0,0,9865,10479,2182,49,9339
17,3,1703,"石川3区",132722,111125,17937,17214,6936,0,0,6160,4118,723,16,3644
18,1,1801,"福井1区",218462,170415,35200,33840,16612,0,0,6398,10830,1360,104,12743
18,2,1802,"福井2区",155511,123106,23601,22026,10321,0,0,5442,6263,1575,76,8728
19,1,1901,"山梨1区",249565,181118,47228,45746,17921,0,0,12864,14961,1482,75,21144
19,2,1902,"山梨2区",147744,117483,22188,21493,8779,0,0,6000,6714,695,42,8031
20,1,2001,"長野1区",244957,181932,45364,44622,23361,0,0,10468,10793,742,68,17593
20,2,2002,"長野2区",220340,168975,43683,42595,18217,0,0,11869,12509,1088,123,7559
20,3,2003,"長野3区",230775,178335,40130,37399,17133,0,0,10838,9428,2731,104,12206
20,4,2004,"長野4区",141083,110274,26309,25282,9800,0,0,8777,6705,1027,10,4490
20,5,2005,"長野5区",163234,131105,25742,24856,10872,0,0,8372,5612,886,38,6349
21,1,2101,"岐阜1区",191679,139071,34403,33576,17396,0,0,7098,9082,827,63,18142
21,2,2102,"岐阜2区",174853,143993,25621,23687,10812,0,0,7228,5647,1934,89,5150
21,3,2103,"岐阜3区",242523,184212,37830,35735,14034,0,0,11952,9749,2095,55,20426
21,4,2104,"岐阜4区",194433,152490,29708,27487,12290,0,0,7954,7243,2221,29,12206
21,5,2105,"岐阜5区",156948,125699,22014,20855,9842,0,0,4617,6396,1159,20,9215
22,1,2201,"静岡1区",225130,157106,48242,47124,27542,21307,6235,6011,13571,1118,49,19733
22,2,2202,"静岡2区",221352,178169,37721,35579,17319,0,0,11679,6581,2142,30,5432
22,3,2203,"静岡3区",234844,180968,43679,39967,19119,0,0,12393,8455,3712,163,10034
22,4,2204,"静岡4区",183178,140616,30529,29517,18147,10278,1821,4289,7081,1012,44,11989
