"ken","kuno","kucode","kuname","通勤者数_総数","通勤者数_徒歩のみ","通勤者数_鉄道・電車","通勤者数_乗合バス","通勤者数_勤め先・学校のバス","通勤者数_自家用車","通勤者数_ハイヤー・タクシー","通勤者数_オートバイ","通勤者数_自転車","通勤者数_その他","通勤者数_利用交通手段「不詳」"
14,4,1404,"神奈川4区",66099,7639,32486,16682,491,10512,202,3090,9200,560,1837
14,5,1405,"神奈川5区",79605,9756,40733,19381,666,11840,130,3393,9474,487,2154
14,6,1406,"神奈川6区",81039,10488,43965,20072,681,10823,164,3502,7205,524,2139
14,7,1407,"神奈川7区",67489,6439,44450,10079,475,4279,165,867,10356,348,1729
14,8,1408,"神奈川8区",90260,10211,53590,20040,667,12558,167,1716,8510,501,2264
14,9,1409,"神奈川9区",73487,6481,47420,10802,702,6826,118,1496,10253,376,2053
14,10,1410,"神奈川10区",73259,7209,35745,16267,906,2843,307,544,21461,377,2579
14,11,1411,"神奈川11区",74506,9532,31416,15591,626,20599,203,2768,5238,564,1664
14,12,1412,"神奈川12区",87976,9002,37316,13501,692,19019,148,2957,18950,589,2407
14,13,1413,"神奈川13区",76770,8160,34281,9098,890,16341,107,2185,16145,509,2223
14,14,1414,"神奈川14区",88514,8457,23576,9835,1246,33099,91,1622,20449,649,2445
14,15,1415,"神奈川15区",93081,7358,25497,15871,808,27543,182,3115,27893,649,2643
14,16,1416,"神奈川16区",82509,9381,21659,11894,1774,33188,117,1810,12779,591,1925
14,17,1417,"神奈川17区",98802,11070,25674,9194,1605,47268,178,1794,11350,858,2424
14,18,1418,"神奈川18区",97580,8109,64153,10712,617,3556,157,1035,21331,414,2716
14,19,1419,"神奈川19区",83162,9712,46497,17143,429,10595,163,2042,10946,552,2325
14,20,1420,"神奈川20区",74317,7418,31478,7572,990,15514,127,1268,20167,478,2224
15,1,1501,"新潟1区",88706,8504,3064,9716,284,59313,255,207,9909,663,1519
15,2,1502,"新潟2区",97806,5035,3441,3557,367,81131,110,210,4119,576,1792
15,3,1503,"新潟3区",89970,3955,3512,1323,679,76878,61,161,3853,506,1518
15,4,1504,"新潟4区",84956,5107,1074,2343,526,71698,116,178,4685,554,768
15,5,1505,"新潟5区",82449,5327,790,739,649,71668,72,271,2475,604,1100
16,1,1601,"富山1区",67978,3791,3321,1865,204,54265,115,69,4900,488,1447
16,2,1602,"富山2区",61773,2245,1612,596,260,55102,25,101,1559,280,1081
16,3,1603,"富山3区",92255,3847,2061,810,302,81076,68,148,3381,502,1799
17,1,1701,"石川1区",95377,8154,2086,9619,425,67958,385,343,7837,878,2257
17,2,1702,"石川2区",84370,3862,2173,1382,587,73229,79,152,3447,455,1159
17,3,1703,"石川3区",56428,3328,1391,698,462,48400,58,138,1875,463,771
18,1,1801,"福井1区",98830,4881,2132,1467,647,83804,173,119,5383,654,1887
18,2,1802,"福井2区",65653,3167,1041,431,1037,56797,46,123,2883,463,1007
19,1,1901,"山梨1区",97392,4818,1866,1267,656,81073,111,1369,5744,744,1907
19,2,1902,"山梨2区",57716,3738,3023,591,386,48254,56,460,1460,523,889
20,1,2001,"長野1区",101678,7073,5368,3489,246,76136,131,449,9228,762,2593
