"ken","kuno","kucode","kuname","就業者数_総数（常住地による人口）","就業者数_自市区町村で従業・通学","就業者数_自宅で従業","就業者数_自宅外の自市区町村で従業・通学","就業者数_他市区町村で従業・通学","就業者数_自市内他区で従業・通学","就業者数_県内他市町村で従業・通学","就業者数_他県で従業・通学","就業者数_従業・通学市区町村「不詳・外国」","就業者数_従業地・通学地「不詳」"
16,2,1602,"富山2区",80327,48122,7662,40460,30944,0,29649,912,383,1261
16,3,1603,"富山3区",117620,64483,11668,52815,50904,0,46920,3253,731,2233
17,1,1701,"石川1区",118377,91131,10179,80952,23960,0,20380,3061,519,3286
17,2,1702,"石川2区",109167,58901,10400,48501,49070,0,46427,2200,443,1196
17,3,1703,"石川3区",72987,41715,9843,31872,30615,0,28601,1726,288,657
18,1,1801,"福井1区",124076,83300,13105,70195,38561,0,35742,2290,529,2215
18,2,1802,"福井2区",89514,56873,9826,47047,31467,0,29635,1522,310,1174
19,1,1901,"山梨1区",134850,69269,17486,51783,63358,0,58899,3670,789,2223
19,2,1902,"山梨2区",83922,47016,15313,31703,36087,0,30186,5499,402,819
20,1,2001,"長野1区",137969,101831,18614,83217,32601,0,30640,1399,562,3537
20,2,2002,"長野2区",123683,82319,18150,64169,38797,0,36883,1277,637,2567
20,3,2003,"長野3区",126592,81554,19030,62524,43357,0,40755,2147,455,1681
20,4,2004,"長野4区",80465,47371,10451,36920,32427,0,30723,1439,265,667
20,5,2005,"長野5区",96167,59420,14710,44710,35412,0,34140,837,435,1335
21,1,2101,"岐阜1区",103585,57479,10213,47266,42995,0,27100,14782,1113,3111
21,2,2102,"岐阜2区",97145,44054,10133,33921,51707,0,39786,11280,641,1384
21,3,2103,"岐阜3区",132171,55257,13587,41670,74552,0,52454,21105,993,2362
21,4,2104,"岐阜4区",108939,68261,13312,54949,39455,0,28291,10668,496,1223
21,5,2105,"岐阜5区",86919,47631,9183,38448,37977,0,21093,16340,544,1311
22,1,2201,"静岡1区",124701,75455,12421,63034,46059,29980,13524,1907,648,3187
22,2,2202,"静岡2区",127476,65627,14027,51600,60194,0,58287,1260,647,1655
22,3,2203,"静岡3区",135394,73932,13907,60025,59637,0,57859,1284,494,1825
