"ken","kuno","kucode","kuname","一般世帯数_総数","一般世帯数_親族のみの世帯","一般世帯数_核家族世帯","一般世帯数_うち夫婦のみの世帯","一般世帯数_うち夫婦と子供から成る世帯","一般世帯数_核家族以外の世帯","一般世帯数_非親族を含む世帯","一般世帯数_単独世帯","一般世帯数_世帯の家族類型「不詳」","一般世帯数_（再掲）3世代世帯","一般世帯数_（再掲）夫65歳以上，妻60歳以上の夫婦のみの世帯","一般世帯数_（再掲）65歳以上の単独世帯"
18,2,1802,"福井2区",59890,46370,29349,15501,7601,17021,251,13269,0,12098,14882,13269
19,1,1901,"山梨1区",96520,68653,53903,29861,13079,14750,446,27421,0,9567,28470,27421
19,2,1902,"山梨2区",61582,46574,33124,17587,8629,13450,324,14684,0,9028,16726,14684
20,1,2001,"長野1区",95137,72637,52168,27897,13768,20469,375,22125,0,13864,26699,22125
20,2,2002,"長野2区",89304,67277,48097,25892,12301,19180,455,21572,0,12971,24648,21572
20,3,2003,"長野3区",94332,70701,52390,28274,13642,18311,771,22860,0,12248,26860,22860
20,4,2004,"長野4区",58482,43681,31904,17441,8059,11777,247,14554,0,7858,16669,14554
20,5,2005,"長野5区",67948,52395,34946,18898,9003,17449,305,15248,0,12093,18060,15248
21,1,2101,"岐阜1区",72694,51746,38899,21720,9202,12847,425,20523,0,8781,20817,20523
21,2,2102,"岐阜2区",67912,53842,35813,19253,9640,18029,328,13742,0,13267,18508,13742
21,3,2103,"岐阜3区",87516,68245,48927,27490,12593,19318,434,18837,0,13716,26479,18837
21,4,2104,"岐阜4区",79696,62030,40989,23369,9935,21041,362,17304,0,13924,22484,17304
21,5,2105,"岐阜5区",65423,50369,35528,19448,9115,14841,300,14754,0,9973,18745,14754
22,1,2201,"静岡1区",86068,61913,47250,24168,12380,14663,525,23630,0,9737,23086,23630
22,2,2202,"静岡2区",86783,68920,46097,22817,13254,22823,410,17453,0,16151,21911,17453
22,3,2203,"静岡3区",79249,64043,41632,21063,12055,22411,380,14826,0,16126,20132,14826
22,4,2204,"静岡4区",75782,57015,41003,20544,11062,16012,422,18345,0,10920,19724,18345
22,5,2205,"静岡5区",94199,72142,50658,26598,13259,21484,566,21491,0,14918,25332,21491
22,6,2206,"静岡6区",115150,78076,59236,33754,12767,18840,954,36120,0,11602,31936,36120
22,7,2207,"静岡7区",68769,54829,37322,19588,10402,17507,312,13628,0,12215,18899,13628
22,8,2208,"静岡8区",78763,57755,43135,22659,11350,14620,432,20576,0,9948,21544,20576
23,1,2301,"愛知1区",79715,48597,40610,21953,9384,7987,586,30532,0,4868,20659,30532
23,2,2302,"愛知2区",76843,49900,42740,24590,9704,7160,489,26454,0,4579,23338,26454
23,3,2303,"愛知3区",76595,52180,44143,25360,10604,8037,413,24002,0,5365,24120,24002
23,4,2304,"愛知4区",81921,53379,43862,23296,10756,9517,524,28018,0,6027,22056,28018
23,5,2305,"愛知5区",70180,45897,36599,19098,9122,9298,528,23755,0,6155,18192,23755
23,6,2306,"愛知6区",74781,53854,45250,26022,11095,8604,474,20453,0,5704,25053,20453
23,7,2307,"愛知7区",60550,45769,37501,21698,9664,8268,253,14528,0,5639,20859,14528
23,8,2308,"愛知8区",86845,64960,51043,28070,13419,13917,389,21496,0,9566,26993,21496
23,9,2309,"愛知9区",80278,61727,45510,24251,12388,16217,404,18147,0,11808,23323,18147
23,10,2310,"愛知10区",73489,54817,41885,22429,10947,12932,321,18351,0,9166,21570,18351
23,11,2311,"愛知11区",67802,53832,39754,21881,11236,14078,299,13671,0,10166,20941,13671
23,12,2312,"愛知12区",84220,65890,46722,24929,13045,19168,424,17906,0,13931,23847,17906
23,13,2313,"愛知13区",71213,53964,39933,21149,11112,14031,384,16865,0,10077,20194,16865
23,14,2314,"愛知14区",63242,48552,34032,18158,9039,14520,289,14401,0,10072,17506,14401
23,15,2315,"愛知15区",71084,54375,38092,19496,10551,16283,397,16312,0,11593,18606,16312
23,16,2316,"愛知16区",78510,59250,46403,25893,12024,12847,355,18905,0,9081,24954,18905
24,1,2401,"三重1区",80409,57156,44316,26326,10075,12840,450,22803,0,8248,25329,22803
24,2,2402,"三重2区",85984,64892,48386,28378,11813,16506,507,20585,0,10963,27275,20585
24,3,2403,"三重3区",83410,62403,47635,27189,12056,14768,421,20586,0,10261,26152,20586
24,4,2404,"三重4区",78935,54186,41999,24868,9162,12187,369,24380,0,7354,23919,24380
25,1,2501,"滋賀1区",68689,49323,40157,23698,9699,9166,484,18882,0,6030,22665,18882
25,2,2502,"滋賀2区",91888,72032,48329,26389,13059,23703,423,19433,0,17253,25335,19433
25,3,2503,"滋賀3区",70927,55217,41010,23133,10942,14207,400,15310,0,10147,22197,15310
26,1,2601,"京都1区",85771,51859,43194,22909,10259,8665,714,33198,0,5038,21775,33198
26,2,2602,"京都2区",63356,39914,33694,18427,8012,6220,573,22869,0,3654,17582,22869
26,3,2603,"京都3区",78014,51110,44170,24014,10893,6940,396,26508,0,4340,22966,26508
26,4,2604,"京都4区",89578,62024,51493,28995,12336,10531,642,26912,0,6571,27748,26912
26,5,2605,"京都5区",60529,42695,32419,19126,6817,10276,208,17626,0,6042,18374,17626
26,6,2606,"京都6区",101403,74370,62983,36467,15741,11387,458,26575,0,7503,35254,26575
