"ken","kuno","kucode","kuname","通勤者・通学者数_総数","通勤者・通学者数_徒歩のみ","通勤者・通学者数_鉄道・電車","通勤者・通学者数_乗合バス","通勤者・通学者数_勤め先・学校のバス","通勤者・通学者数_自家用車","通勤者・通学者数_ハイヤー・タクシー","通勤者・通学者数_オートバイ","通勤者・通学者数_自転車","通勤者・通学者数_その他","通勤者・通学者数_利用交通手段「不詳」"
4,5,405,"宮城5区",187221,8762,8333,4225,2172,153532,182,1303,8675,3130,4129
5,1,501,"秋田1区",145311,13580,4953,7167,781,102410,257,658,19327,1942,3798
5,2,502,"秋田2区",125882,6243,4955,1677,1316,106321,104,361,6942,1449,1608
5,3,503,"秋田3区",163894,6723,4410,1700,1474,142241,80,375,8448,1583,2182
6,1,601,"山形1区",174575,11605,6595,4297,799,133571,248,1153,17674,2334,4002
6,2,602,"山形2区",176394,8817,6992,1316,1596,145435,135,662,12746,1955,3277
6,3,603,"山形3区",156297,8427,2590,1139,2346,131537,112,511,9446,2000,2450
7,1,701,"福島1区",216287,14036,15723,6386,1389,160565,238,1647,20014,2835,5234
7,2,702,"福島2区",241821,15540,9286,6461,1867,185284,306,1386,20611,4009,7199
7,3,703,"福島3区",179238,10613,5821,2728,2096,143320,238,775,13535,2517,4186
7,4,704,"福島4区",203165,11172,8074,5665,3769,164047,188,1102,9912,3558,4077
8,1,801,"茨城1区",233997,11470,17037,10010,1665,176420,202,1969,19885,3163,5469
8,2,802,"茨城2区",165567,6309,6170,2208,2303,135503,85,1288,9927,2464,5514
8,3,803,"茨城3区",209994,7923,50741,10616,3741,131990,139,3051,21180,2394,5408
8,4,804,"茨城4区",145671,7399,13022,3081,970,110809,96,1405,13405,1625,3264
8,5,805,"茨城5区",127291,10763,16091,6241,1250,89693,140,1395,7855,1539,2360
8,6,806,"茨城6区",260732,11112,33082,9022,3759,182027,192,2823,33110,3141,6827
8,7,807,"茨城7区",189904,6034,15215,2562,2957,146063,98,2392,17929,2169,5902
9,1,901,"栃木1区",223304,12148,13093,10143,2695,153664,210,3585,33758,2856,6999
9,2,902,"栃木2区",143007,5506,10173,2656,1758,115354,58,1461,10040,1673,3224
9,3,903,"栃木3区",130866,4865,7736,2662,1434,106360,56,1142,7685,1702,4610
9,4,904,"栃木4区",206981,8452,21550,3363,2785,154224,145,1954,22306,2436,4645
9,5,905,"栃木5区",198025,7728,13528,1207,1872,155015,81,2060,20337,2198,3376
10,1,1001,"群馬1区",192501,9528,10580,2750,1286,148796,114,1675,20843,2515,4280
10,2,1002,"群馬2区",197357,6645,10431,1115,1633,158284,102,1919,19468,2381,5022
10,3,1003,"群馬3区",194958,7292,12291,1626,2760,149884,153,1802,21897,2283,4937
10,4,1004,"群馬4区",173159,9194,14591,2347,1378,124756,137,1861,23048,2349,4063
10,5,1005,"群馬5区",176563,9183,9108,1830,1615,143974,87,1554,10951,2214,4427
11,1,1101,"埼玉1区",206996,11883,108465,26378,2571,45458,328,5067,44230,2842,6210
11,2,1102,"埼玉2区",223519,13481,108870,23247,2187,42414,305,7680,58971,3548,7335
11,3,1103,"埼玉3区",215538,9944,99744,16037,3000,61896,267,5960,49921,3327,6719
11,4,1104,"埼玉4区",216776,15663,114089,25077,3084,39421,268,8015,51297,2995,6657
11,5,1105,"埼玉5区",213526,16512,108785,20826,2963,43793,369,4309,47454,3115,6194
11,6,1106,"埼玉6区",232476,10775,84759,15396,3695,94431,169,5109,52198,3373,5911
11,7,1107,"埼玉7区",207268,11863,83647,12305,4873,73872,238,6209,41790,2701,5770
11,8,1108,"埼玉8区",220298,14817,106344,14807,4743,59513,268,6391,45904,2680,5647
11,9,1109,"埼玉9区",220795,15591,64928,15245,4183,107888,260,7296,31815,2548,4627
11,10,1110,"埼玉10区",181179,7952,46769,8884,4668,105049,120,3808,21877,2259,4434
11,11,1111,"埼玉11区",190916,8024,22552,2292,3309,141204,92,2593,18841,2364,4415
11,12,1112,"埼玉12区",209223,9270,38938,7139,3370,138418,103,2819,25508,2550,5302
11,13,1113,"埼玉13区",205811,7790,70978,9717,3532,99372,187,4193,33483,2738,5899
