"ken","kuno","kucode","kuname","就業者・通学者数_総数（常住地による人口）","就業者・通学者数_自市区町村で従業・通学","就業者・通学者数_自宅で従業","就業者・通学者数_自宅外の自市区町村で従業・通学","就業者・通学者数_他市区町村で従業・通学","就業者・通学者数_自市内他区で従業・通学","就業者・通学者数_県内他市町村で従業・通学","就業者・通学者数_他県で従業・通学","就業者・通学者数_従業・通学市区町村「不詳・外国」","就業者・通学者数_従業地・通学地「不詳」"
14,11,1411,"神奈川11区",88474,58596,6219,52377,27842,0,22354,4962,526,2036
14,12,1412,"神奈川12区",106005,56793,7787,49006,46406,0,35088,10426,892,2806
14,13,1413,"神奈川13区",90083,37774,5456,32318,49688,7909,29491,11311,977,2621
14,14,1414,"神奈川14区",104765,57549,6751,50798,44178,10322,12924,20137,795,3038
14,15,1415,"神奈川15区",111464,60646,8088,52558,47605,0,37955,8798,852,3213
14,16,1416,"神奈川16区",98205,54448,6476,47972,41515,0,33187,7637,691,2242
14,17,1417,"神奈川17区",118893,66303,9610,56693,49985,0,42187,6948,850,2605
14,18,1418,"神奈川18区",117280,38295,10466,27829,76210,14028,12341,48651,1190,2775
14,19,1419,"神奈川19区",101833,39817,8040,31777,59462,19327,11026,28192,917,2554
14,20,1420,"神奈川20区",87539,37550,5468,32082,47442,3339,26053,17221,829,2547
15,1,1501,"新潟1区",106126,73235,8180,65055,31097,27753,2824,242,278,1794
15,2,1502,"新潟2区",119946,74834,11682,63152,43022,19886,22311,248,577,2090
15,3,1503,"新潟3区",109857,70984,10181,60803,37152,11441,24851,321,539,1721
15,4,1504,"新潟4区",102211,84732,8532,76200,16708,0,16237,263,208,771
15,5,1505,"新潟5区",101455,88544,11092,77452,11643,0,10764,618,261,1268
16,1,1601,"富山1区",80606,72021,5752,66269,6726,0,5963,610,153,1859
16,2,1602,"富山2区",73470,48590,5734,42856,23805,0,23048,428,329,1075
16,3,1603,"富山3区",109920,70434,8943,61491,37600,0,35254,1868,478,1886
17,1,1701,"石川1区",115266,99251,8274,90977,13046,0,11829,901,316,2969
17,2,1702,"石川2区",101538,61298,8036,53262,39131,0,37969,797,365,1109
17,3,1703,"石川3区",69734,44540,7117,37423,24533,0,23727,582,224,661
18,1,1801,"福井1区",118737,88478,10057,78421,28145,0,26668,1073,404,2114
18,2,1802,"福井2区",79894,55013,7635,47378,23935,0,22719,943,273,946
19,1,1901,"山梨1区",121447,70483,12748,57735,48963,0,46389,1923,651,2001
19,2,1902,"山梨2区",77096,47139,11950,35189,29065,0,25314,3424,327,892
20,1,2001,"長野1区",127545,102588,15362,87226,21839,0,20529,863,447,3118
20,2,2002,"長野2区",112493,83824,14538,69286,26318,0,25009,783,526,2351
