"ken","kuno","kucode","kuname","就業者数_0_総数","就業者数_A_農業，林業","就業者数_01_うち農業","就業者数_B_漁業","就業者数_C_鉱業，採石業，砂利採取業","就業者数_D_建設業","就業者数_E_製造業","就業者数_F_電気・ガス・熱供給・水道業","就業者数_G_情報通信業","就業者数_H_運輸業，郵便業","就業者数_I_卸売業，小売業","就業者数_J_金融業，保険業","就業者数_K_不動産業，物品賃貸業","就業者数_L_学術研究，専門・技術サービス業","就業者数_M_宿泊業，飲食サービス業","就業者数_N_生活関連サービス業，娯楽業","就業者数_O_教育，学習支援業","就業者数_P_医療，福祉","就業者数_Q_複合サービス事業","就業者数_R_サービス業（他に分類されないもの）","就業者数_S_公務（他に分類されるものを除く）","就業者数_T_分類不能の産業","就業者数_R1_（再掲）第1次産業","就業者数_R2_（再掲）第2次産業","就業者数_R3_（再掲）第3次産業"
12,7,1207,"千葉7区",158989,1895,1891,10,19,10748,21823,662,8605,13706,25183,4490,3968,6780,7175,5798,7999,18418,729,11114,4543,5324,1905,32590,119170
12,8,1208,"千葉8区",188382,2063,2050,7,19,12418,18117,701,11359,13177,31715,6351,5819,8852,9930,6874,10611,22747,726,13918,7217,5761,2070,30554,149997
12,9,1209,"千葉9区",209363,4933,4893,17,26,18183,22415,864,6437,17751,34736,4986,5481,7002,10035,8210,10411,26721,935,15264,7896,7060,4950,40624,156729
12,10,1210,"千葉10区",192652,18551,18498,703,54,13605,27858,739,1519,20043,27427,3084,2284,3333,9574,7250,7059,21987,2033,12600,6936,6013,19254,41517,125868
12,11,1211,"千葉11区",189325,12513,12392,665,265,16740,26917,1004,2397,12212,27572,2857,3038,4639,10084,9277,8156,23746,2115,12535,7037,5556,13178,43922,126669
12,12,1212,"千葉12区",209627,9735,9595,1563,237,19322,27752,1525,2638,12876,29505,3381,3288,6597,13593,8495,8793,28427,2300,13476,9099,7025,11298,47311,143993
12,13,1213,"千葉13区",220925,6329,6292,18,27,14971,22322,942,10702,19222,35454,6512,5382,8255,10964,8708,10874,25893,1213,17397,8680,7060,6347,37320,170198
12,14,1214,"千葉14区",224385,1461,1453,32,49,14218,22811,1006,14882,16975,36668,8079,6942,9238,11746,8549,12066,25280,902,16198,9520,7763,1493,37078,178051
13,1,1301,"東京1区",152350,116,108,2,36,4390,9292,529,19297,3468,17454,8608,8455,14871,9253,4686,8420,15802,476,11236,7689,8270,118,13718,130244
13,2,1302,"東京2区",174055,90,85,29,51,5680,16703,662,21411,5975,28028,9912,7738,16583,11868,4969,6094,13168,286,12357,4059,8392,119,22434,143110
13,3,1303,"東京3区",211660,991,953,441,30,10213,19293,758,28435,11099,29096,8829,8346,16083,12209,7358,8625,18506,960,16198,6274,7916,1432,29536,172776
13,4,1304,"東京4区",240655,260,256,23,22,13519,28133,843,23909,23602,36695,6633,8515,11471,13418,7557,7314,21395,704,20256,4498,11888,283,41674,186810
13,5,1305,"東京5区",189805,420,414,4,60,6404,13080,590,25618,5576,27513,9428,9805,19521,9277,8480,10693,18057,426,12544,5199,7110,424,19544,162727
13,6,1306,"東京6区",203557,759,741,11,69,8605,13560,630,24669,6476,29080,9859,9883,18587,10520,8391,12648,21276,544,15083,5329,7578,770,22234,172975
13,7,1307,"東京7区",185936,131,124,8,65,4673,11718,638,26299,5268,23009,10903,11724,22855,10018,7415,8590,16127,357,12831,5092,8215,139,16456,161126
13,8,1308,"東京8区",201414,385,381,5,67,7618,13959,769,27272,5671,27574,10661,9772,18446,10170,7547,12489,20419,476,15568,5923,6623,390,21644,172757
13,9,1309,"東京9区",153152,739,733,5,39,10301,10931,521,15588,6520,22577,6690,6019,10188,8152,5545,9192,18616,613,11558,3942,5416,744,21271,125721
13,10,1310,"東京10区",225437,189,177,7,64,7837,17379,740,28255,5932,28910,12072,10800,21380,12044,6953,15109,24606,398,17404,7301,8057,196,25280,191904
13,11,1311,"東京11区",195196,257,253,7,29,11448,17907,589,19652,8756,28605,7034,7885,11794,11030,7066,9201,22999,707,16582,4893,8755,264,29384,156793
13,12,1312,"東京12区",191376,154,143,2,31,9722,18346,742,19761,9740,27279,7130,7079,11253,10740,6216,8640,20058,706,17386,7566,8825,156,28099,154296
13,13,1313,"東京13区",186784,277,270,4,38,13674,18448,713,14598,12133,29682,5819,6561,8632,11508,6447,6732,19951,826,16963,5147,8631,281,32160,145712
13,14,1314,"東京14区",219007,246,240,6,42,12947,24957,839,22048,11317,35808,8076,8008,12229,13985,7596,7783,20175,769,18619,4931,8626,252,37946,172183
13,15,1315,"東京15区",235716,185,157,18,57,11622,22455,1157,28274,14898,35479,12560,8657,16336,13284,6808,8554,18170,559,20401,5749,10493,203,34134,190886
13,16,1316,"東京16区",214781,517,510,23,24,16714,20062,678,18663,17718,34857,7706,7544,9398,12703,7596,6968,18698,630,19817,4612,9853,540,36800,167588
13,17,1317,"東京17区",196619,399,387,8,17,13126,22409,740,16327,12221,31115,5936,6706,8692,12193,6740,7639,20653,723,17178,5971,7826,407,35552,152834
13,18,1318,"東京18区",206709,1071,1056,6,142,9715,15983,700,22334,6730,29130,9689,8520,15152,11013,7020,14503,24228,716,16139,7591,6327,1077,25840,173465
13,19,1319,"東京19区",168246,1241,1227,8,25,8558,16251,591,14166,5660,23653,6355,5751,11850,8704,5384,13316,21848,770,12447,6382,5286,1249,24834,136877
13,20,1320,"東京20区",206234,2087,2078,6,12,16168,20419,641,11844,11418,31404,5359,5732,8983,10629,7482,10936,29497,1123,16739,8427,7328,2093,36599,160214
13,21,1321,"東京21区",204292,1372,1352,2,20,10771,22223,801,14407,9582,30370,5711,6290,11611,11744,6820,13627,25802,860,17736,8051,6492,1374,33014,163412
13,22,1322,"東京22区",223137,1513,1502,6,96,11733,17153,815,24262,8115,31492,9899,8623,16077,11885,8043,14580,26205,692,18222,6345,7381,1519,28982,185255
13,23,1323,"東京23区",182372,1332,1327,5,18,11808,18328,583,12363,9009,28821,4989,6486,10402,9549,6578,12015,24179,630,14068,4565,6644,1337,30154,144237
13,24,1324,"東京24区",189360,1335,1297,11,38,12506,24463,651,8962,10038,28462,4112,5278,9280,11126,6825,11054,27309,1098,15391,5076,6345,1346,37007,144662
13,25,1325,"東京25区",214962,2365,2158,24,157,15004,35904,897,7008,12600,30234,3601,4723,7246,11763,8127,9316,32222,1477,16711,7745,7838,2389,51065,153670
13,26,1326,"東京26区",223859,351,341,9,60,8290,20581,945,28666,8101,32334,10031,10981,20762,10858,8536,11718,21057,473,15065,6603,8438,360,28931,186130
13,27,1327,"東京27区",191113,217,211,9,38,8223,12099,633,26930,5856,26115,8957,8953,16213,11411,8046,9373,17974,528,16954,6122,6462,226,20360,164065
13,28,1328,"東京28区",168578,403,395,5,24,9349,11962,605,20622,6005,23711,7573,6737,11798,8545,6061,9396,18135,479,13738,7384,6046,408,21335,140789
13,29,1329,"東京29区",183169,357,353,10,22,12871,20124,634,14684,11354,29287,5418,6062,8818,11578,6247,6779,19097,654,16059,4195,8919,367,33017,140866
13,30,1330,"東京30区",222775,1527,1518,6,35,13116,21076,697,20284,9611,31647,7502,7379,12658,11870,8074,14417,27171,901,19570,7758,7476,1533,34227,179539
14,1,1401,"神奈川1区",224172,458,450,154,26,12477,25056,1069,14186,16647,33296,5944,7345,13257,13445,7325,11292,27703,680,18281,7651,7880,612,37559,178121
14,2,1402,"神奈川2区",229534,448,442,5,18,15599,21648,1022,17511,14468,34736,6481,7736,13015,13307,7672,10901,29177,748,19581,7573,7888,453,37265,183928
14,3,1403,"神奈川3区",250922,772,764,30,25,18702,31200,1106,22888,18427,36892,6855,8179,13980,13771,7946,9857,25705,621,20038,5050,8878,802,49927,191315
