"ken","kuno","kucode","kuname","人口_総数","人口_出生時から","人口_1年未満","人口_1年以上5年未満","人口_5年以上10年未満","人口_10年以上20年未満","人口_20年以上","人口_居住期間「不詳」"
17,2,1702,"石川2区",391740,66027,19649,54157,41505,61567,133125,15710
17,3,1703,"石川3区",277532,56748,11052,29790,22746,36004,115343,5849
18,1,1801,"福井1区",450734,88400,20280,56498,44143,63543,155435,22435
18,2,1802,"福井2区",316129,66388,14044,36339,28223,43054,113032,15049
19,1,1901,"山梨1区",507444,66651,25979,73059,56944,80047,166399,38365
19,2,1902,"山梨2区",302530,56289,13324,36308,29414,43602,109690,13903
20,1,2001,"長野1区",503198,72817,25865,71099,55838,77991,167763,31825
20,2,2002,"長野2区",451850,72190,25726,67242,50624,69711,152328,14029
20,3,2003,"長野3区",471170,76442,24102,63652,49625,70268,165311,21770
20,4,2004,"長野4区",286555,45833,14882,40053,31330,43872,102624,7961
20,5,2005,"長野5区",335238,65023,14924,41739,33819,48226,120150,11357
21,1,2101,"岐阜1区",402557,50446,19932,57699,46210,66322,127341,34607
21,2,2102,"岐阜2区",358439,70744,14352,41731,36022,52991,133754,8845
21,3,2103,"岐阜3区",495524,78063,20928,62295,51285,76142,169392,37419
21,4,2104,"岐阜4区",398648,68280,16408,47684,38047,56047,149962,22220
21,5,2105,"岐阜5区",323574,52452,12573,36316,30543,47661,127906,16123
22,1,2201,"静岡1区",462323,49955,26072,75769,58130,77179,140087,35131
22,2,2202,"静岡2区",452533,73144,20480,60752,52555,72251,163866,9485
22,3,2203,"静岡3区",465839,79504,23691,69016,52140,69899,156122,15467
22,4,2204,"静岡4区",373922,51510,16261,48865,41662,59416,135629,20579
22,5,2205,"静岡5区",531311,68294,28280,80317,63247,87639,174008,29526
22,6,2206,"静岡6区",498671,58407,23871,70925,58661,81242,167476,38089
22,7,2207,"静岡7区",384238,60545,18692,53522,45634,65148,132234,8463
22,8,2208,"静岡8区",464365,52633,27896,80821,61284,77672,141746,22313
23,1,2301,"愛知1区",491530,38232,33022,85621,57455,69097,108901,99202
23,2,2302,"愛知2区",506587,35649,31969,93226,70442,86576,114859,73866
23,3,2303,"愛知3区",521218,42560,29225,87791,68052,89031,130417,74142
23,4,2304,"愛知4区",453514,42713,24421,68495,50855,70965,127668,68397
23,5,2305,"愛知5区",426679,42213,24763,66650,47687,64715,109294,71357
23,6,2306,"愛知6区",436473,46581,20214,61140,50538,76817,141149,40034
23,7,2307,"愛知7区",441147,48596,22437,69190,56731,79605,126076,38512
23,8,2308,"愛知8区",535372,69475,23812,72258,64206,90192,172829,42600
23,9,2309,"愛知9区",459985,69214,18662,58367,51096,76286,158199,28161
23,10,2310,"愛知10区",428056,54962,16900,51710,45202,69190,135458,54634
23,11,2311,"愛知11区",484282,64482,24996,69949,52482,77626,151728,43019
