"ken","kuno","kucode","kuname","一般世帯数_総数","一般世帯数_親族のみの世帯","一般世帯数_核家族世帯","一般世帯数_うち夫婦のみの世帯","一般世帯数_うち夫婦と子供から成る世帯","一般世帯数_核家族以外の世帯","一般世帯数_非親族を含む世帯","一般世帯数_単独世帯","一般世帯数_世帯の家族類型「不詳」","一般世帯数_（再掲）3世代世帯","一般世帯数_（再掲）夫65歳以上，妻60歳以上の夫婦のみの世帯","一般世帯数_（再掲）65歳以上の単独世帯"
12,1,1201,"千葉1区",51588,24762,24079,23607,21,683,180,26646,0,0,23607,26646
12,2,1202,"千葉2区",38333,19628,19099,18785,9,529,134,18571,0,0,18785,18571
12,3,1203,"千葉3区",38048,20664,19928,19482,30,736,158,17226,0,0,19482,17226
12,4,1204,"千葉4区",42034,20070,19352,18907,17,718,135,21829,0,0,18907,21829
12,5,1205,"千葉5区",35962,16564,15965,15608,11,599,164,19234,0,0,15608,19234
12,6,1206,"千葉6区",51249,23886,23193,22727,29,693,181,27182,0,0,22727,27182
12,7,1207,"千葉7区",33156,18798,18195,17847,16,603,86,14272,0,0,17847,14272
12,8,1208,"千葉8区",40809,22150,21502,21112,24,648,127,18532,0,1,21112,18532
12,9,1209,"千葉9区",53846,29747,28937,28453,27,810,185,23914,0,0,28453,23914
12,10,1210,"千葉10区",37419,18663,17229,16399,56,1434,133,18623,0,0,16399,18623
12,11,1211,"千葉11区",50038,25705,24137,23239,46,1568,228,24105,0,0,23239,24105
12,12,1212,"千葉12区",51696,26725,25158,24244,49,1567,199,24772,0,0,24244,24772
12,13,1213,"千葉13区",49744,28337,27475,26951,30,862,150,21257,0,0,26951,21257
12,14,1214,"千葉14区",49047,25178,24481,24031,17,697,143,23726,0,0,24031,23726
13,1,1301,"東京1区",37205,12211,11548,11128,13,663,104,24890,0,0,11128,24890
13,2,1302,"東京2区",35217,11091,10373,9965,15,718,171,23955,0,0,9965,23955
13,3,1303,"東京3区",41405,15135,14388,13858,16,747,161,26109,0,0,13858,26109
13,4,1304,"東京4区",49102,18256,17229,16568,19,1027,242,30604,0,0,16568,30604
13,5,1305,"東京5区",42193,16554,15907,15397,18,647,86,25553,0,0,15397,25553
13,6,1306,"東京6区",46258,17797,17129,16585,17,668,88,28373,0,0,16585,28373
13,7,1307,"東京7区",40688,14201,13483,12982,12,718,181,26306,0,0,12982,26306
13,8,1308,"東京8区",43352,17296,16605,16057,7,691,100,25956,0,0,16057,25956
13,9,1309,"東京9区",34362,15004,14427,14006,11,577,92,19266,0,0,14006,19266
13,10,1310,"東京10区",49176,16249,15353,14850,13,896,143,32784,0,0,14850,32784
13,11,1311,"東京11区",45779,16867,16018,15451,22,849,233,28679,0,0,15451,28679
13,12,1312,"東京12区",56319,19027,17962,17326,21,1065,212,37080,0,0,17326,37080
13,13,1313,"東京13区",49823,18335,17429,16946,17,906,255,31233,0,0,16946,31233
13,14,1314,"東京14区",49572,17549,16469,15880,18,1080,214,31809,0,0,15880,31809
13,15,1315,"東京15区",51465,19617,18753,18192,12,864,162,31686,0,0,18192,31686
13,16,1316,"東京16区",38260,15794,15259,14914,18,535,169,22297,0,0,14914,22297
13,17,1317,"東京17区",47078,17770,16654,16046,25,1116,243,29065,0,0,16046,29065
13,18,1318,"東京18区",45684,20080,19303,18757,10,777,132,25472,0,0,18757,25472
13,19,1319,"東京19区",37017,17030,16432,16033,15,598,88,19899,0,0,16033,19899
13,20,1320,"東京20区",56286,25524,24773,24310,16,751,179,30583,0,0,24310,30583
13,21,1321,"東京21区",48865,22570,21946,21512,19,624,95,26200,0,0,21512,26200
13,22,1322,"東京22区",47872,20502,19833,19333,11,669,185,27185,0,0,19333,27185
13,23,1323,"東京23区",46802,23437,22858,22493,11,579,87,23278,0,0,22493,23278
13,24,1324,"東京24区",50180,24436,23661,23141,18,775,188,25556,0,0,23141,25556
13,25,1325,"東京25区",54182,26024,25224,24764,26,800,225,27933,0,0,24764,27933
13,26,1326,"東京26区",46264,18627,17617,17008,23,1010,214,27423,0,0,17008,27423
13,27,1327,"東京27区",42035,14817,14050,13510,15,767,146,27072,0,0,13510,27072
13,28,1328,"東京28区",33164,13209,12648,12289,17,561,144,19811,0,0,12289,19811
13,29,1329,"東京29区",46527,16917,16017,15516,23,900,178,29432,0,0,15516,29432
13,30,1330,"東京30区",49326,23275,22606,22211,17,669,132,25919,0,0,22211,25919
14,1,1401,"神奈川1区",57296,26456,25532,24895,12,924,182,30658,0,0,24895,30658
14,2,1402,"神奈川2区",57781,24852,23946,23316,22,906,173,32756,0,0,23316,32756
14,3,1403,"神奈川3区",48355,19418,18494,17911,29,924,171,28766,0,0,17911,28766
14,4,1404,"神奈川4区",48206,25356,24472,23851,22,884,85,22765,0,0,23851,22765
14,5,1405,"神奈川5区",44417,23127,22516,22127,18,611,102,21188,0,0,22127,21188
14,6,1406,"神奈川6区",50992,24257,23564,23019,24,693,119,26616,0,0,23019,26616
14,7,1407,"神奈川7区",27905,13083,12643,12307,15,440,99,14723,0,0,12307,14723
14,8,1408,"神奈川8区",43294,23122,22604,22205,19,518,94,20078,0,0,22205,20078
14,9,1409,"神奈川9区",32913,16410,15954,15643,10,456,95,16408,0,0,15643,16408
14,10,1410,"神奈川10区",35443,13483,12796,12314,22,687,169,21791,0,0,12314,21791
14,11,1411,"神奈川11区",55367,27242,26110,25364,36,1132,179,27946,0,0,25364,27946
14,12,1412,"神奈川12区",46355,23310,22594,22098,24,716,140,22905,0,1,22098,22905
14,13,1413,"神奈川13区",43538,21253,20635,20243,16,618,159,22126,0,0,20243,22126
14,14,1414,"神奈川14区",46321,24157,23510,23125,19,647,196,21968,0,0,23125,21968
14,15,1415,"神奈川15区",55035,28540,27535,26916,34,1005,176,26319,0,0,26916,26319
14,16,1416,"神奈川16区",42849,23023,22408,22037,14,615,124,19702,0,0,22037,19702
14,17,1417,"神奈川17区",59467,30622,29325,28697,29,1297,254,28591,0,0,28697,28591
14,18,1418,"神奈川18区",32736,14127,13565,13194,10,562,121,18488,0,0,13194,18488
14,19,1419,"神奈川19区",32190,16405,16020,15766,9,385,80,15705,0,0,15766,15705
14,20,1420,"神奈川20区",40333,19950,19385,19012,19,565,158,20225,0,0,19012,20225
15,1,1501,"新潟1区",44443,20806,19649,18821,53,1157,118,23519,0,0,18821,23519
15,2,1502,"新潟2区",40113,21591,20247,19421,59,1344,89,18433,0,0,19421,18433
15,3,1503,"新潟3区",40301,21155,19486,18440,85,1669,93,19053,0,0,18440,19053
15,4,1504,"新潟4区",39423,20689,19326,18445,51,1363,87,18647,0,0,18445,18647
15,5,1505,"新潟5区",40775,21592,19963,18947,63,1629,89,19094,0,0,18947,19094
16,1,1601,"富山1区",32251,15997,15197,14643,34,800,101,16153,0,0,14643,16153
16,2,1602,"富山2区",26140,13972,12958,12272,25,1014,63,12105,0,0,12272,12105
16,3,1603,"富山3区",39056,21065,19314,18261,56,1751,74,17917,0,0,18261,17917
17,1,1701,"石川1区",42556,21064,20180,19559,23,884,134,21358,0,0,19559,21358
17,2,1702,"石川2区",33322,17974,17063,16576,32,911,154,15194,0,0,16576,15194
17,3,1703,"石川3区",33506,17815,16638,15772,49,1177,74,15617,0,0,15772,15617
18,1,1801,"福井1区",38071,19837,18590,17870,40,1247,136,18098,0,1,17870,18098
18,2,1802,"福井2区",28098,14752,13753,13153,41,999,77,13269,0,0,13153,13269
19,1,1901,"山梨1区",55019,27440,26163,25422,29,1277,158,27421,0,0,25422,27421
19,2,1902,"山梨2区",30861,16057,15183,14693,24,874,120,14684,0,0,14693,14684
20,1,2001,"長野1区",48127,25891,24493,23715,46,1398,111,22125,0,1,23715,22125
20,2,2002,"長野2区",45962,24239,22883,22106,49,1356,151,21572,0,0,22106,21572
20,3,2003,"長野3区",49183,26167,24769,24011,41,1398,156,22860,0,1,24011,22860
20,4,2004,"長野4区",31178,16539,15688,15125,29,851,85,14554,0,0,15125,14554
20,5,2005,"長野5区",33263,17910,16856,16189,30,1054,105,15248,0,0,16189,15248
21,1,2101,"岐阜1区",40666,19972,19058,18499,27,914,171,20523,0,0,18499,20523
21,2,2102,"岐阜2区",31346,17519,16593,16116,30,926,85,13742,0,0,16116,13742
21,3,2103,"岐阜3区",44004,25037,23893,23333,27,1144,130,18837,0,0,23333,18837
21,4,2104,"岐阜4区",39301,21917,20534,19839,39,1383,80,17304,0,0,19839,17304
21,5,2105,"岐阜5区",33092,18246,17129,16546,39,1117,92,14754,0,0,16546,14754
22,1,2201,"静岡1区",46521,22703,21472,20769,36,1231,188,23630,0,0,20769,23630
22,2,2202,"静岡2区",39254,21693,20286,19487,58,1407,108,17453,0,1,19487,17453
22,3,2203,"静岡3区",34787,19852,18462,17609,67,1390,109,14826,0,0,17609,14826
