"ken","kuno","kucode","kuname","就業者数_総数（常住地による人口）","就業者数_自市区町村で従業・通学","就業者数_自宅で従業","就業者数_自宅外の自市区町村で従業・通学","就業者数_他市区町村で従業・通学","就業者数_自市内他区で従業・通学","就業者数_県内他市町村で従業・通学","就業者数_他県で従業・通学","就業者数_従業・通学市区町村「不詳・外国」","就業者数_従業地・通学地「不詳」"
15,3,1503,"新潟3区",100151,66556,10181,56375,32030,10074,21340,161,455,1565
15,4,1504,"新潟4区",93488,78726,8532,70194,14123,0,13895,87,141,639
15,5,1505,"新潟5区",93541,83126,11092,72034,9294,0,8747,366,181,1121
16,1,1601,"富山1区",73730,66099,5752,60347,5877,0,5442,301,134,1754
16,2,1602,"富山2区",67507,45614,5734,39880,20903,0,20493,164,246,990
16,3,1603,"富山3区",101198,66489,8943,57546,32934,0,31443,1105,386,1775
17,1,1701,"石川1区",103651,89012,8274,80738,11874,0,10908,683,283,2765
17,2,1702,"石川2区",92406,57442,8036,49406,33960,0,33115,563,282,1004
17,3,1703,"石川3区",63545,41662,7117,34545,21281,0,20662,452,167,602
18,1,1801,"福井1区",108887,81846,10057,71789,25136,0,24224,591,321,1905
18,2,1802,"福井2区",73288,51832,7635,44197,20623,0,19868,544,211,833
19,1,1901,"山梨1区",110140,64820,12748,52072,43489,0,41806,1168,515,1831
19,2,1902,"山梨2区",69666,43921,11950,31971,24994,0,22208,2559,227,751
20,1,2001,"長野1区",117040,95541,15362,80179,18554,0,17876,330,348,2945
20,2,2002,"長野2区",103310,78370,14538,63832,22799,0,22019,372,408,2141
20,3,2003,"長野3区",103524,75088,13554,61534,27002,0,26171,559,272,1434
20,4,2004,"長野4区",64682,43217,7936,35281,20868,0,20026,691,151,597
20,5,2005,"長野5区",80849,56152,11671,44481,23596,0,23198,169,229,1101
21,1,2101,"岐阜1区",90915,66687,8870,57817,21386,0,15185,5708,493,2842
21,2,2102,"岐阜2区",79596,45062,7997,37065,33480,0,28971,4147,362,1054
21,3,2103,"岐阜3区",109168,59052,10665,48387,48209,0,38691,8938,580,1907
21,4,2104,"岐阜4区",91283,65884,10947,54937,24372,0,20227,3860,285,1027
21,5,2105,"岐阜5区",73007,51124,7173,43951,20892,0,14562,6047,283,991
22,1,2201,"静岡1区",105424,77054,10126,66928,25811,21586,3512,423,290,2559
22,2,2202,"静岡2区",106553,69301,11315,57986,35934,0,35377,196,361,1318
22,3,2203,"静岡3区",106455,69686,10743,58943,35323,0,34740,279,304,1446
22,4,2204,"静岡4区",83807,65096,8679,56417,17147,8281,8370,305,191,1564
22,5,2205,"静岡5区",113640,79702,10257,69445,33179,0,31135,1856,188,759
22,6,2206,"静岡6区",104936,74479,12340,62139,29215,0,27154,1820,241,1242
22,7,2207,"静岡7区",87409,54912,10475,44437,31814,23926,5686,2068,134,683
22,8,2208,"静岡8区",104770,64374,9125,55249,39453,33131,5476,668,178,943
23,1,2301,"愛知1区",101494,48117,9152,38965,50475,39004,9758,995,718,2902
23,2,2302,"愛知2区",102319,44112,8108,36004,55319,40578,13137,735,869,2888
23,3,2303,"愛知3区",104980,46293,8099,38194,56201,40476,14434,528,763,2486
23,4,2304,"愛知4区",90983,43878,7086,36792,44805,37617,5992,548,648,2300
23,5,2305,"愛知5区",87798,41529,7330,34199,43621,28066,13865,975,715,2648
23,6,2306,"愛知6区",90682,56116,6798,49318,32352,0,30509,1298,545,2214
23,7,2307,"愛知7区",91870,40356,6752,33604,49702,0,48740,384,578,1812
23,8,2308,"愛知8区",112452,59978,9248,50730,50439,0,49543,269,627,2035
23,9,2309,"愛知9区",102043,47147,10258,36889,52706,0,49309,2595,802,2190
23,10,2310,"愛知10区",88525,54814,7730,47084,31238,0,26736,3934,568,2473
23,11,2311,"愛知11区",98596,75697,7339,68358,20048,0,19350,275,423,2851
23,12,2312,"愛知12区",119066,88090,10994,77096,28015,0,27335,210,470,2961
23,13,2313,"愛知13区",108764,61476,8926,52550,44779,0,43962,253,564,2509
23,14,2314,"愛知14区",82913,60283,9740,50543,21209,0,20371,528,310,1421
23,15,2315,"愛知15区",98454,82692,14493,68199,13101,0,10470,2300,331,2661
23,16,2316,"愛知16区",100769,52194,7763,44431,46302,0,42737,2843,722,2273
24,1,2401,"三重1区",94960,75954,7756,68198,16308,0,14956,946,406,2698
24,2,2402,"三重2区",105511,78495,8472,70023,23909,0,20257,3112,540,3107
24,3,2403,"三重3区",105003,69647,8483,61164,32026,0,24042,7348,636,3330
24,4,2404,"三重4区",75675,53511,9018,44493,20265,0,18596,1143,526,1899
25,1,2501,"滋賀1区",79558,53581,6536,47045,23854,0,10531,12820,503,2123
25,2,2502,"滋賀2区",117180,76498,9810,66688,38057,0,34898,2486,673,2625
25,3,2503,"滋賀3区",100304,56578,7315,49263,41673,0,34353,6729,591,2053
26,1,2601,"京都1区",100573,49152,11846,37306,47885,37524,2739,6829,793,3536
26,2,2602,"京都2区",62042,34007,7020,26987,25807,19588,1171,4484,564,2228
26,3,2603,"京都3区",81673,37662,6295,31367,41631,12814,19951,8187,679,2380
26,4,2604,"京都4区",93254,49850,9113,40737,40495,24368,10576,4725,826,2909
26,5,2605,"京都5区",60163,50599,7763,42836,8213,0,6761,1228,224,1351
26,6,2606,"京都6区",106081,49319,8496,40823,53923,0,36041,16822,1060,2839
27,1,2701,"大阪1区",102793,41494,9299,32195,57028,44122,8656,3335,915,4271
27,2,2702,"大阪2区",99696,41699,8630,33069,53755,39662,11005,1884,1204,4242
27,3,2703,"大阪3区",73972,33473,5210,28263,37144,28897,6152,1147,948,3355
27,4,2704,"大阪4区",98089,37267,7440,29827,57198,42332,9503,4467,896,3624
27,5,2705,"大阪5区",97043,41498,6095,35403,51740,32921,11527,6307,985,3805
27,6,2706,"大阪6区",88677,36535,6267,30268,48614,15121,30352,1971,1170,3528
27,7,2707,"大阪7区",93125,44336,5973,38363,46060,0,41419,3855,786,2729
27,8,2708,"大阪8区",100395,48401,7421,40980,49089,0,41398,6735,956,2905
27,9,2709,"大阪9区",88252,44007,6249,37758,42309,0,35885,5738,686,1936
27,10,2710,"大阪10区",74008,40726,4504,36222,31104,0,23586,6901,617,2178
27,11,2711,"大阪11区",88787,47825,5429,42396,38285,0,29928,7523,834,2677
27,12,2712,"大阪12区",77740,35547,5076,30471,39553,0,35939,2637,977,2640
27,13,2713,"大阪13区",87553,52712,6705,46007,31036,0,27888,2258,890,3805
27,14,2714,"大阪14区",99494,49623,7105,42518,46968,0,43693,2085,1190,2903
27,15,2715,"大阪15区",87038,38763,6186,32577,45517,1120,42117,1259,1021,2758
27,16,2716,"大阪16区",77535,34177,5253,28924,40640,12562,26303,1049,726,2718
27,17,2717,"大阪17区",74050,34341,4844,29497,36902,14099,21390,715,698,2807
27,18,2718,"大阪18区",99711,47232,6623,40609,49174,0,47137,1005,1032,3305
27,19,2719,"大阪19区",71870,34463,5138,29325,35446,0,33037,1755,654,1961
28,1,2801,"兵庫1区",99824,48815,7184,41631,47718,25143,9782,12070,723,3291
28,2,2802,"兵庫2区",89436,43732,5981,37751,42271,25527,11303,4608,833,3433
28,3,2803,"兵庫3区",69925,30679,4019,26660,36911,27527,5990,2783,611,2335
28,4,2804,"兵庫4区",104150,61409,9020,52389,40130,10574,27349,1509,698,2611
