"ken","kuno","kucode","kuname","1一般世帯数_総数1","2一般世帯数_世帯人員が1人2","3一般世帯数_世帯人員が2人3","4一般世帯数_世帯人員が3人4","5一般世帯数_世帯人員が4人5","6一般世帯数_世帯人員が5人6"
37,1,3701,"香川1区",170223,169879,344,371090,360279,10811
37,2,3702,"香川2区",122072,121765,307,297585,288700,8885
37,3,3703,"香川3区",114690,114418,272,281569,271873,9696
38,1,3801,"愛媛1区",241234,240734,500,511192,497998,13194
38,2,3802,"愛媛2区",203776,203321,455,461664,448322,13342
38,3,3803,"愛媛3区",156392,155886,506,361985,348710,13275
39,1,3901,"高知1区",167778,167345,433,364016,349685,14331
39,2,3902,"高知2区",147494,146985,509,327511,314278,13233
40,1,4001,"福岡1区",296878,296506,372,541619,530712,10907
40,2,4002,"福岡2区",301904,301554,350,558742,549818,8924
40,3,4003,"福岡3区",243218,242851,367,548397,534515,13882
40,4,4004,"福岡4区",197229,196849,380,489902,476661,13241
40,5,4005,"福岡5区",224678,224310,368,551051,537473,13578
40,6,4006,"福岡6区",184919,184409,510,452986,438371,14615
40,7,4007,"福岡7区",134939,134493,446,341021,327736,13285
40,8,4008,"福岡8区",174576,173935,641,411207,394290,16917
40,9,4009,"福岡9区",205737,205308,429,452752,439386,13366
40,10,4010,"福岡10区",230508,230056,452,486277,470250,16027
40,11,4011,"福岡11区",128739,128208,531,301260,287035,14225
41,1,4101,"佐賀1区",163862,163250,612,406889,392137,14752
41,2,4102,"佐賀2区",148818,147923,895,404553,389464,15089
42,1,4201,"長崎1区",187423,186988,435,409118,395805,13313
42,2,4202,"長崎2区",190386,189528,858,479582,460426,19156
42,3,4203,"長崎3区",180421,179614,807,423617,403553,20064
43,1,4301,"熊本1区",237172,236652,520,516859,502882,13977
43,2,4302,"熊本2区",150976,150507,469,375868,363767,12101
43,3,4303,"熊本3区",144898,144323,575,376435,364086,12349
43,4,4304,"熊本4区",186108,185258,850,469139,448058,21081
44,1,4401,"大分1区",204253,203802,451,463837,450801,13036
44,2,4402,"大分2区",125676,125172,504,303269,290348,12921
44,3,4403,"大分3区",159320,158705,615,356746,341117,15629
45,1,4501,"宮崎1区",194588,194083,505,426671,413669,13002
45,2,4502,"宮崎2区",133901,133447,454,319057,306204,12853
45,3,4503,"宮崎3区",141566,141045,521,323848,310233,13615
46,1,4601,"鹿児島1区",207657,207153,504,424890,412658,12232
46,2,4602,"鹿児島2区",177755,177134,621,398675,382019,16656
46,3,4603,"鹿児島3区",165355,164751,604,378178,361286,16892
46,4,4604,"鹿児島4区",177412,176817,595,386513,372508,14005
47,1,4701,"沖縄1区",150191,149836,355,329331,321243,8088
