"ken","kuno","kucode","kuname","人口_在学者","人口_（在学者）小学校","人口_（在学者）中学校","人口_（在学者）高校","人口_（在学者）短大・高専","人口_（在学者）大学","人口_（在学者）大学院","人口_（在学者）不詳","人口_未就学者","人口_（未就学者）幼稚園","人口_（未就学者）保育園・保育所","人口_（未就学者）認定こども園","人口_（未就学者）その他","人口_（未就学者）不詳"
44,3,4403,"大分3区",20890,8383,4345,4494,1320,2283,64,1,7840,876,2816,1628,2520,0
45,1,4501,"宮崎1区",28850,11811,5873,6169,1402,3429,159,7,11416,1221,3906,2377,3912,0
45,2,4502,"宮崎2区",18892,8355,4284,4477,741,1007,27,1,7684,717,3480,1358,2129,0
45,3,4503,"宮崎3区",19616,8890,4459,4282,1221,746,14,4,8487,638,2875,2573,2401,0
46,1,4601,"鹿児島1区",27703,10425,5425,5736,2147,3687,275,8,10005,1764,3700,1342,3199,0
46,2,4602,"鹿児島2区",24775,11036,5193,5716,1469,1304,50,7,10556,1394,4330,1746,3086,0
46,3,4603,"鹿児島3区",23236,10139,5149,5596,1257,1057,37,1,9694,1071,3881,1826,2916,0
46,4,4604,"鹿児島4区",22654,10818,5219,4797,1028,764,23,5,10413,1003,2975,2981,3454,0
47,1,4701,"沖縄1区",24000,9923,4922,5067,1481,2483,120,4,9687,632,3325,1611,4119,0
47,2,4702,"沖縄2区",30879,12826,6271,6193,1616,3775,186,12,13179,1197,4641,1134,6207,0
47,3,4703,"沖縄3区",30911,13161,6508,6554,1675,2848,155,10,13806,1064,5113,880,6749,0
47,4,4704,"沖縄4区",28249,13494,5995,5699,1234,1766,44,17,14713,1105,5973,1686,5949,0
