"ken","kuno","kucode","kuname","通勤者数_総数","通勤者数_徒歩のみ","通勤者数_鉄道・電車","通勤者数_乗合バス","通勤者数_勤め先・学校のバス","通勤者数_自家用車","通勤者数_ハイヤー・タクシー","通勤者数_オートバイ","通勤者数_自転車","通勤者数_その他","通勤者数_利用交通手段「不詳」"
4,2,402,"宮城2区",131631,9540,26638,8779,976,75036,278,4229,13307,3758,2982
4,3,403,"宮城3区",79325,2801,7827,1189,543,63904,63,1053,3490,1501,1442
4,4,404,"宮城4区",111274,4646,8834,2762,1861,87595,150,2036,4972,3210,1933
4,5,405,"宮城5区",94964,3474,2504,688,848,82514,91,673,2539,2051,2115
5,1,501,"秋田1区",70416,5816,1301,2348,325,54130,94,568,6566,1201,1625
5,2,502,"秋田2区",62267,2558,726,289,660,56035,24,310,1511,811,615
5,3,503,"秋田3区",81266,2888,742,331,753,73805,22,311,1950,924,927
6,1,601,"山形1区",83727,4609,1162,1316,347,70138,96,898,4744,1407,1697
6,2,602,"山形2区",87251,4202,655,232,606,76902,46,543,3236,1128,1433
6,3,603,"山形3区",75857,3070,290,238,710,67933,34,412,2140,1161,1082
7,1,701,"福島1区",108044,6215,4672,1957,664,86213,102,1353,6892,1709,2502
7,2,702,"福島2区",121374,6122,2613,1726,826,100535,138,1094,6161,2528,3286
7,3,703,"福島3区",90104,4555,995,513,914,77354,103,620,3822,1362,1894
7,4,704,"福島4区",108874,4618,1668,1211,2890,92061,81,938,3876,2570,2075
8,1,801,"茨城1区",116926,5094,6857,3506,739,93881,95,1425,6141,2015,2548
8,2,802,"茨城2区",86576,3114,1329,509,559,74767,36,783,2857,1473,3002
8,3,803,"茨城3区",106035,3316,27372,4941,1285,69089,78,2293,7267,1660,2354
8,4,804,"茨城4区",75526,4047,4589,903,443,59670,62,1023,5706,973,1438
8,5,805,"茨城5区",67031,5288,6572,2707,619,49352,83,1212,3519,954,1076
8,6,806,"茨城6区",130305,5129,16619,3542,1166,96055,119,2003,12316,2005,3034
8,7,807,"茨城7区",96939,3132,6234,825,901,78984,45,1488,5799,1345,2982
9,1,901,"栃木1区",116670,6215,5659,3894,1723,86533,109,3022,12227,1883,3465
9,2,902,"栃木2区",73329,2593,2561,566,823,63174,24,1134,2746,1040,1482
9,3,903,"栃木3区",64776,2223,2219,404,559,56129,26,581,1952,947,2021
9,4,904,"栃木4区",104862,3379,8568,1095,1049,83708,74,1538,7688,1559,2127
9,5,905,"栃木5区",100157,3370,4502,325,651,83609,36,1598,6675,1454,1548
10,1,1001,"群馬1区",94393,4166,3758,827,501,77700,56,1344,6736,1513,1933
10,2,1002,"群馬2区",98010,2923,2860,357,670,84120,55,1536,5292,1452,2298
10,3,1003,"群馬3区",101702,4453,3672,551,1333,81886,87,1523,8010,1321,2489
10,4,1004,"群馬4区",85675,4113,6731,848,507,65720,64,1540,7733,1611,1780
10,5,1005,"群馬5区",87943,4130,2307,485,549,75812,38,1241,2787,1326,2093
11,1,1101,"埼玉1区",103269,3719,58607,12962,1146,27310,216,4081,14575,2223,2633
11,2,1102,"埼玉2区",114825,5075,57977,10682,1020,28474,171,6187,21660,2777,3490
