"ken","kuno","kucode","kuname","就業者数_0_総数","就業者数_A_管理的職業従事者","就業者数_B_専門的・技術的職業従事者","就業者数_C_事務従事者","就業者数_D_販売従事者","就業者数_E_サービス職業従事者","就業者数_F_保安職業従事者","就業者数_G_農林漁業従事者","就業者数_H_生産工程従事者","就業者数_I_輸送・機械運転従事者","就業者数_J_建設・採掘従事者","就業者数_K_運搬・清掃・包装等従事者","就業者数_L_分類不能の職業"
23,16,2316,"愛知16区",229953,3536,35588,43667,25350,22619,4489,2392,46395,8703,8437,22414,6363
24,1,2401,"三重1区",206140,3519,34945,39608,21407,24134,5056,5516,35437,6564,8815,14608,6531
24,2,2402,"三重2区",237858,3477,32888,40873,22015,25613,3013,6647,57191,8999,9128,19706,8308
24,3,2403,"三重3区",241744,4285,36632,44523,25635,25157,2843,3610,54761,8519,9332,18355,8092
24,4,2404,"三重4区",160026,2922,22148,25435,15633,24227,3379,9738,25246,5463,7945,12747,5143
25,1,2501,"滋賀1区",174504,3418,35669,34766,21866,21634,4410,2975,22145,4646,6806,10992,5177
25,2,2502,"滋賀2区",262887,4171,39711,45099,24785,27613,2844,7799,64600,8079,9514,20309,8363
25,3,2503,"滋賀3区",229211,3724,41344,42781,24369,23494,2965,5631,48182,6433,6908,16759,6621
26,1,2601,"京都1区",206612,5160,43641,43311,30344,28758,3215,1164,22142,4516,4827,12292,7242
26,2,2602,"京都2区",130223,3279,29678,24615,17616,20144,1782,858,11950,3098,4334,8142,4727
26,3,2603,"京都3区",177899,3176,32735,37848,22684,22148,2942,1655,22332,6468,6599,13735,5577
26,4,2604,"京都4区",200692,3927,35356,37901,26630,27448,3675,5061,26030,6216,7459,14069,6920
26,5,2605,"京都5区",135605,2635,18745,21048,12006,17308,7490,6878,24290,4515,6987,9491,4212
26,6,2606,"京都6区",235396,4463,43017,49220,27823,26725,5740,5152,31398,7982,8029,17782,8065
27,1,2701,"大阪1区",209327,6758,44355,51299,33141,25666,2038,129,16244,3787,4600,12126,9184
27,2,2702,"大阪2区",208635,4673,35476,42397,28224,28562,2534,340,27274,6011,7883,15864,9397
27,3,2703,"大阪3区",158088,2700,22687,31477,20956,23232,2117,238,17123,6371,6535,16399,8253
27,4,2704,"大阪4区",205162,5197,44659,50046,31405,24505,2803,151,16679,4068,5341,12168,8140
27,5,2705,"大阪5区",210981,3137,35860,45103,30915,26967,2532,254,23856,6988,8526,17618,9225
27,6,2706,"大阪6区",192486,3116,30046,39224,25043,24061,2706,394,25065,7589,10120,16320,8802
27,7,2707,"大阪7区",206566,4554,41256,49768,34812,22191,2494,447,17243,5620,6936,14624,6621
27,8,2708,"大阪8区",218655,5420,45528,50724,34718,26869,3069,897,18108,5213,7040,14077,6992
27,9,2709,"大阪9区",193089,4235,42234,42420,28207,22086,2665,1814,16729,5405,6192,15203,5899
27,10,2710,"大阪10区",160993,2480,33614,34773,22226,18687,2295,855,16655,5262,5514,12831,5801
27,11,2711,"大阪11区",193704,3386,38426,43851,24866,23659,3243,1138,21874,5878,6836,14122,6425
27,12,2712,"大阪12区",171302,2918,25638,32968,22263,22149,3145,617,22986,6915,9425,15218,7060
27,13,2713,"大阪13区",192042,4045,26496,37586,25587,23228,2254,549,31651,7173,7805,17123,8545
27,14,2714,"大阪14区",217257,4409,34209,43411,28099,26920,3479,1778,33322,6969,9104,16892,8665
27,15,2715,"大阪15区",189892,3973,32338,37839,23517,24449,3367,2487,25120,6786,8396,14190,7430
27,16,2716,"大阪16区",169316,3066,32452,36493,23255,20285,3747,521,19343,5083,6256,12396,6419
27,17,2717,"大阪17区",162181,3323,27813,31198,21363,21344,2670,1000,20463,6335,7389,12943,6340
