"ken","kuno","kucode","kuname","人口_総数","人口_卒業者","人口_（卒業者）小学校","人口_（卒業者）中学校","人口_（卒業者）高校・旧中","人口_（卒業者）短大・高専","人口_（卒業者）大学","人口_（卒業者）大学院","人口_（卒業者）不詳","人口_在学者","人口_未就学者","人口_在学か否かの別「不詳」"
36,1,3601,"徳島1区",351105,327194,4416,44699,135932,44583,62267,7672,27625,23621,286,4
36,2,3602,"徳島2区",262898,248664,3543,41532,106651,30759,36835,3795,25549,13763,468,3
37,1,3701,"香川1区",310053,289855,1994,26924,106173,43211,68691,5756,37106,20027,161,10
37,2,3702,"香川2区",260154,244786,2506,31442,109266,34414,40694,2878,23586,15270,97,1
37,3,3703,"香川3区",244382,230430,2188,26008,106193,31616,37968,2822,23635,13748,201,3
38,1,3801,"愛媛1区",425772,393286,2259,35905,139832,58258,81726,6515,68791,31990,484,12
38,2,3802,"愛媛2区",399316,380397,4550,58919,167954,53512,59830,4378,31254,18719,196,4
38,3,3803,"愛媛3区",320929,305162,4723,57431,136708,41385,39794,2431,22690,15337,430,0
39,1,3901,"高知1区",315104,294863,3028,41825,114600,40691,45233,3925,45561,20030,211,0
39,2,3902,"高知2区",288883,272690,4210,54355,110835,32459,30319,1947,38565,15907,285,1
40,1,4001,"福岡1区",444975,409016,1239,26408,129132,61817,96779,9061,84580,35510,435,14
40,2,4002,"福岡2区",461841,425382,880,20395,122370,69823,115215,11067,85632,36006,453,0
40,3,4003,"福岡3区",454304,410519,1883,33371,142845,64264,96563,9531,62062,43382,396,7
40,4,4004,"福岡4区",408326,379271,1701,33841,149290,57164,75327,4975,56973,28867,185,3
40,5,4005,"福岡5区",462046,425951,1524,31715,158785,61495,85347,5402,81683,35805,288,2
40,6,4006,"福岡6区",369713,342816,2374,37537,160631,48570,60416,4132,29156,26604,287,6
40,7,4007,"福岡7区",297347,279407,3146,42028,135313,32075,32387,2108,32350,17636,304,0
40,8,4008,"福岡8区",357743,335778,3954,50263,156207,43173,41290,2193,38698,21527,436,2
40,9,4009,"福岡9区",384651,357255,2327,37973,151612,46647,58160,6203,54333,26795,589,12
40,10,4010,"福岡10区",405326,378881,2220,38729,155723,49505,63344,5442,63918,25890,542,13
40,11,4011,"福岡11区",260223,245276,2703,39030,121274,31205,27288,1487,22289,14406,540,1
41,1,4101,"佐賀1区",340847,315296,2194,31260,146602,44376,56393,4918,29553,25277,270,4
41,2,4102,"佐賀2区",348793,329341,4290,61896,166732,39786,37264,2586,16787,19278,173,1
42,1,4201,"長崎1区",356139,331251,3032,43091,138015,42736,53422,5610,45345,24573,312,3
42,2,4202,"長崎2区",412801,388723,4429,69736,178677,49932,49439,4054,32456,23609,469,0
42,3,4203,"長崎3区",367490,347908,4617,68497,172537,38784,36142,2335,24996,19180,402,0
43,1,4301,"熊本1区",433697,395988,1743,31088,150033,56353,87018,8449,61304,37155,549,5
43,2,4302,"熊本2区",321144,299532,3356,39544,138692,38327,44073,2878,32662,21087,523,2
43,3,4303,"熊本3区",319340,301043,3993,46226,152084,39354,40247,3456,15683,17973,322,2
43,4,4304,"熊本4区",410555,390617,8782,88098,190579,43580,37893,2111,19574,19342,596,0
44,1,4401,"大分1区",389508,362734,1917,29380,176050,54732,66490,5861,28304,26668,102,4
44,2,4402,"大分2区",269480,257501,4407,44579,138471,28664,27637,1550,12193,11737,242,0
44,3,4403,"大分3区",306731,288878,2435,33489,141673,39747,40633,2599,28302,17672,177,4
45,1,4501,"宮崎1区",357463,332573,2323,35391,137779,45318,57413,4600,49749,24635,253,2
45,2,4502,"宮崎2区",276306,262153,4361,56339,126768,29636,25487,1959,17603,13975,177,1
