"ken","kuno","kucode","kuname","通勤者・通学者数_総数","通勤者・通学者数_徒歩のみ","通勤者・通学者数_鉄道・電車","通勤者・通学者数_乗合バス","通勤者・通学者数_勤め先・学校のバス","通勤者・通学者数_自家用車","通勤者・通学者数_ハイヤー・タクシー","通勤者・通学者数_オートバイ","通勤者・通学者数_自転車","通勤者・通学者数_その他","通勤者・通学者数_利用交通手段「不詳」"
14,11,1411,"神奈川11区",82255,10606,36937,17607,719,20831,206,2814,5632,620,2035
14,12,1412,"神奈川12区",98218,10153,44368,15685,826,19210,149,3012,21097,632,2974
14,13,1413,"神奈川13区",84627,8998,39806,10576,1023,16474,110,2217,17625,543,2770
14,14,1414,"神奈川14区",98014,9691,28383,11918,1701,33473,96,1716,23518,721,2965
14,15,1415,"神奈川15区",103376,8530,31284,18258,1003,27875,185,3231,31559,712,3217
14,16,1416,"神奈川16区",91729,10520,27146,14098,1973,33531,119,1883,15193,651,2447
14,17,1417,"神奈川17区",109283,12347,33149,10944,1910,47771,183,1856,13049,947,2942
14,18,1418,"神奈川18区",106814,8895,71157,12062,765,3593,161,1042,22560,449,3350
14,19,1419,"神奈川19区",93793,10637,54664,19611,644,10748,165,2064,11914,606,2973
14,20,1420,"神奈川20区",82071,8196,36270,8643,1287,15666,128,1289,22545,512,2701
15,1,1501,"新潟1区",97946,10492,5037,12320,625,60527,258,225,12520,811,1924
15,2,1502,"新潟2区",108264,6485,8530,5166,740,82575,111,224,6286,737,2274
15,3,1503,"新潟3区",99676,5016,8291,2425,1663,78805,66,176,5643,747,1948
15,4,1504,"新潟4区",93679,6357,3781,4527,706,73293,120,184,7344,759,1091
15,5,1505,"新潟5区",90363,6784,3962,1529,896,73483,75,315,3978,842,1446
16,1,1601,"富山1区",74854,4825,5627,2692,429,55399,115,75,7374,594,1717
16,2,1602,"富山2区",67736,2691,4756,1247,377,56314,25,102,3126,380,1345
16,3,1603,"富山3区",100977,4677,5720,1789,511,83262,68,155,6233,697,2087
17,1,1701,"石川1区",106992,10268,3459,13683,1012,70009,390,398,10875,1052,2772
17,2,1702,"石川2区",93502,4569,5540,3230,980,75431,84,159,6828,619,1491
17,3,1703,"石川3区",62617,4583,3929,1736,814,49713,62,139,2853,590,980
18,1,1801,"福井1区",108680,6140,4530,2284,854,86709,175,127,8915,938,2296
18,2,1802,"福井2区",72259,3749,3244,945,1252,58473,46,128,5380,640,1301
19,1,1901,"山梨1区",108699,6313,4746,2020,820,83040,111,1937,10493,999,2428
19,2,1902,"山梨2区",65146,5386,5550,994,600,49891,57,760,2845,758,1255
20,1,2001,"長野1区",112183,8946,9090,4573,418,77321,137,464,13274,1030,2996
20,2,2002,"長野2区",97955,6822,6848,1952,426,72936,96,453,9804,863,2607
20,3,2003,"長野3区",99697,6399,6505,1526,656,80351,71,249,5141,852,2023
20,4,2004,"長野4区",62788,5395,4521,779,399,49314,71,163,3057,527,1016
20,5,2005,"長野5区",76038,5400,3287,885,489,63476,94,252,1482,723,1422
21,1,2101,"岐阜1区",91503,5601,8013,8420,737,58470,149,228,13925,840,2950
21,2,2102,"岐阜2区",80120,3502,7615,2102,774,60945,42,260,8607,529,1654
21,3,2103,"岐阜3区",109916,5457,10829,3688,1145,82148,51,347,10871,774,2610
21,4,2104,"岐阜4区",87904,5797,4330,1704,1840,69078,79,306,6147,741,1444
21,5,2105,"岐阜5区",72363,5232,7662,2199,1481,56099,56,197,2120,683,1240
22,1,2201,"静岡1区",104708,8891,8415,12991,578,46212,290,4086,29249,1123,2585
22,2,2202,"静岡2区",104090,5044,9035,3430,1121,77825,97,1209,11730,855,1682
22,3,2203,"静岡3区",104839,4515,6654,2828,1431,84162,123,733,7761,900,1893
22,4,2204,"静岡4区",82633,6448,9082,3304,789,53154,94,1849,11593,780,1892
22,5,2205,"静岡5区",114584,8502,11008,3561,1691,84305,143,1274,8848,934,1276
22,6,2206,"静岡6区",101324,11246,9854,5894,1274,65492,240,1638,9493,1102,1804
22,7,2207,"静岡7区",85099,4214,5485,3179,859,66033,70,811,7265,612,1062
22,8,2208,"静岡8区",105168,8048,6123,7832,923,71233,254,1395,13514,877,1432
23,1,2301,"愛知1区",99992,11314,39044,9888,779,19378,612,371,29196,872,3094
23,2,2302,"愛知2区",105415,10323,39605,13723,1297,32560,219,655,19731,836,3168
23,3,2303,"愛知3区",108445,10357,37384,11333,1027,40932,149,1061,17431,803,3016
23,4,2304,"愛知4区",91869,8820,31086,9432,746,27390,168,516,22095,727,2493
23,5,2305,"愛知5区",87647,6836,31082,8576,679,27555,135,420,22159,712,2756
23,6,2306,"愛知6区",93601,6633,20499,4357,1277,53498,86,716,14587,638,2428
23,7,2307,"愛知7区",95858,6904,22538,4882,1150,53762,62,1127,13732,695,2469
23,8,2308,"愛知8区",114664,6409,22357,2070,1458,76100,94,1089,10792,847,2863
23,9,2309,"愛知9区",102182,4425,23955,3772,953,59051,60,698,18776,747,2621
23,10,2310,"愛知10区",89772,4442,18573,3755,812,50845,49,456,18332,638,2756
23,11,2311,"愛知11区",102226,7030,12248,3500,2204,71315,91,806,8932,761,2951
23,12,2312,"愛知12区",119826,7111,14045,4096,1634,82217,76,895,14826,972,3228
23,13,2313,"愛知13区",111028,7270,18008,1835,1627,69554,79,725,17311,755,3061
23,14,2314,"愛知14区",80653,4645,9458,1073,1034,58312,50,569,8768,596,1686
23,15,2315,"愛知15区",92737,5185,7684,2776,1592,65293,93,752,11737,890,2647
23,16,2316,"愛知16区",103446,6063,19132,3408,1043,60493,70,595,19792,736,2722
24,1,2401,"三重1区",96311,4357,8874,2941,1117,70892,88,619,10007,875,2682
24,2,2402,"三重2区",107352,4784,11544,3250,1355,79660,85,952,8512,918,3291
24,3,2403,"三重3区",107022,5919,16041,5025,1359,72382,91,746,10287,802,3514
24,4,2404,"三重4区",72942,4000,4389,1304,684,56236,42,906,5978,967,2067
25,1,2501,"滋賀1区",81891,6767,26414,6344,821,37390,81,1827,10973,647,2324
25,2,2502,"滋賀2区",119135,4909,12646,2440,1725,88054,112,623,13436,1020,3102
25,3,2503,"滋賀3区",104103,5286,19602,4850,1305,61855,84,1396,18558,798,2669
26,1,2601,"京都1区",100050,12794,26987,21721,1127,8447,592,4476,34223,836,3898
26,2,2602,"京都2区",64115,8045,20796,11812,690,8458,357,3562,17676,582,2875
26,3,2603,"京都3区",84275,7237,35843,6324,850,14330,165,6865,22492,654,2732
26,4,2604,"京都4区",94415,7313,27941,13760,722,25713,193,5543,23915,766,3214
26,5,2605,"京都5区",57458,4248,1982,1143,676,42924,56,379,6104,585,1525
26,6,2606,"京都6区",110923,8273,36761,9360,1241,41340,125,7025,18882,828,3400
27,1,2701,"大阪1区",100348,12969,54884,3447,628,3055,578,311,29040,718,4504
27,2,2702,"大阪2区",100340,6682,45312,3283,646,5491,151,1005,44465,646,4289
27,3,2703,"大阪3区",74724,5205,34856,4841,805,3600,96,471,30322,446,3239
27,4,2704,"大阪4区",97872,10283,53119,4996,653,2908,452,429,32288,547,3766
27,5,2705,"大阪5区",98575,8128,51944,4564,916,3622,206,1173,36236,518,3858
27,6,2706,"大阪6区",90461,5833,38065,3448,665,5162,77,1944,42695,530,3545
27,7,2707,"大阪7区",98050,9356,45952,6848,1165,8346,143,4315,33547,583,3190
27,8,2708,"大阪8区",104067,9873,47552,11505,1359,10281,242,4630,32630,747,3401
27,9,2709,"大阪9区",92809,7419,34007,10358,1487,15639,131,5384,32676,642,2451
27,10,2710,"大阪10区",77532,5639,29946,11200,1112,9374,110,5920,30032,433,2373
27,11,2711,"大阪11区",93695,6872,37024,11854,714,16969,86,8351,25290,615,2886
27,12,2712,"大阪12区",80553,5475,30646,5176,755,9530,94,5458,33388,501,2822
27,13,2713,"大阪13区",89451,6218,32975,2125,589,7965,81,4522,41030,589,3596
27,14,2714,"大阪14区",103221,6235,37256,3300,1098,17162,100,5667,42101,680,3259
27,15,2715,"大阪15区",91114,5692,29086,6773,1343,30546,68,5282,22776,687,3078
27,16,2716,"大阪16区",79883,5402,33652,3897,1025,11993,92,1425,29500,514,2837
