"ken","kuno","kucode","kuname","人口_総数","人口_卒業者","人口_（卒業者）小学校","人口_（卒業者）中学校","人口_（卒業者）高校・旧中","人口_（卒業者）短大・高専","人口_（卒業者）大学","人口_（卒業者）大学院","人口_（卒業者）不詳","人口_在学者","人口_未就学者","人口_在学か否かの別「不詳」"
23,7,2307,"愛知7区",177132,161496,384,14133,51954,12065,55126,9410,18424,15530,104,2
23,8,2308,"愛知8区",227883,211491,899,30250,86018,15560,48495,6115,24154,16242,145,5
23,9,2309,"愛知9区",194917,180258,687,25668,69137,13995,47027,4069,19675,14557,99,3
23,10,2310,"愛知10区",175551,162517,546,20021,57436,11169,42137,4189,27019,12862,168,4
23,11,2311,"愛知11区",214081,198024,601,23780,83045,12463,42705,9220,26210,15831,222,4
23,12,2312,"愛知12区",235966,220092,824,29288,87276,15184,53736,7412,26372,15622,242,10
23,13,2313,"愛知13区",231154,215313,793,25911,81436,13320,52490,10147,31216,15543,285,13
23,14,2314,"愛知14区",152653,142527,933,22445,63225,10932,33454,3387,8151,9991,131,4
23,15,2315,"愛知15区",182856,170240,710,22542,71888,12620,37912,4159,20409,12325,282,9
23,16,2316,"愛知16区",201749,186591,680,23146,68533,14377,50959,5935,22961,15020,127,11
24,1,2401,"三重1区",179510,166567,1051,21688,65902,11529,39733,4592,22072,12733,208,2
24,2,2402,"三重2区",202649,189335,991,22536,85205,12666,40756,4800,22381,13062,246,6
24,3,2403,"三重3区",213063,199372,796,21537,78156,12140,47841,6680,32222,13533,153,5
24,4,2404,"三重4区",139152,131352,1259,26984,57634,9139,22938,1659,11739,7648,151,1
25,1,2501,"滋賀1区",158271,144328,598,13762,46970,10840,43632,7796,20730,13845,94,4
25,2,2502,"滋賀2区",220771,204392,1315,25911,86680,17678,46942,5781,20085,16214,164,1
25,3,2503,"滋賀3区",202539,182959,724,17277,67457,15051,48611,8751,25088,19379,196,5
26,1,2601,"京都1区",194532,173076,450,12368,44055,9776,51395,10390,44642,21360,85,11
26,2,2602,"京都2区",133198,115587,301,9467,30120,6518,32260,7289,29632,17552,54,5
