"ken","kuno","kucode","kuname","人口_総数","人口_卒業者","人口_（卒業者）小学校","人口_（卒業者）中学校","人口_（卒業者）高校・旧中","人口_（卒業者）短大・高専","人口_（卒業者）大学","人口_（卒業者）大学院","人口_（卒業者）不詳","人口_在学者","人口_未就学者","人口_在学か否かの別「不詳」"
14,10,1410,"神奈川10区",163276,153719,1139,14470,50443,28230,27046,2425,29966,9425,126,6
14,11,1411,"神奈川11区",194571,182361,1331,21121,77753,35004,19101,1000,27051,12097,112,1
14,12,1412,"神奈川12区",210987,195027,981,13340,64479,46392,39258,2620,27957,15783,174,3
14,13,1413,"神奈川13区",192995,179627,950,16491,63457,35885,24296,1337,37211,13147,206,15
14,14,1414,"神奈川14区",208070,192235,1410,21014,72682,38229,24355,1441,33104,15430,400,5
14,15,1415,"神奈川15区",236182,219385,1342,17670,77146,48764,32949,1947,39567,16536,259,2
14,16,1416,"神奈川16区",196035,181506,1179,17288,66482,40914,26942,1931,26770,14347,177,5
14,17,1417,"神奈川17区",236976,221499,1942,24557,92036,47987,27095,1810,26072,15238,237,2
14,18,1418,"神奈川18区",209942,194938,690,10372,48808,41782,52095,4278,36913,14913,89,2
14,19,1419,"神奈川19区",191953,175401,547,9138,46877,41299,43968,2784,30788,16468,80,4
14,20,1420,"神奈川20区",179860,166757,837,12068,55443,36323,28695,2011,31380,12962,140,1
15,1,1501,"新潟1区",197936,185788,3438,24108,78923,37060,22441,1642,18176,12089,59,0
15,2,1502,"新潟2区",216121,202695,5027,35886,88623,36233,18889,1073,16964,13297,127,2
15,3,1503,"新潟3区",205239,193571,6970,41114,87638,31196,13263,638,12752,11536,132,0
15,4,1504,"新潟4区",193103,182661,5803,33900,88411,31075,14174,824,8474,10294,148,0
15,5,1505,"新潟5区",188098,178882,6550,37663,84996,27861,12110,882,8820,9039,176,1
