kucode,pref_id,district_name,total_pop,foreigners,pct_foreigners,kuname_x,就業者数_0_総数,就業者数_A_農業，林業,就業者数_01_うち農業,就業者数_B_漁業,就業者数_C_鉱業，採石業，砂利採取業,就業者数_D_建設業,就業者数_E_製造業,就業者数_F_電気・ガス・熱供給・水道業,就業者数_G_情報通信業,就業者数_H_運輸業，郵便業,就業者数_I_卸売業，小売業,就業者数_J_金融業，保険業,就業者数_K_不動産業，物品賃貸業,就業者数_L_学術研究，専門・技術サービス業,就業者数_M_宿泊業，飲食サービス業,就業者数_N_生活関連サービス業，娯楽業,就業者数_O_教育，学習支援業,就業者数_P_医療，福祉,就業者数_Q_複合サービス事業,就業者数_R_サービス業（他に分類されないもの）,就業者数_S_公務（他に分類されるものを除く）,就業者数_T_分類不能の産業,就業者数_R1_（再掲）第1次産業,就業者数_R2_（再掲）第2次産業,就業者数_R3_（再掲）第3次産業,kuname_y,人口_総数,人口_0～4歳,人口_5～9歳,人口_10～14歳,人口_15～19歳,人口_20～24歳,人口_25～29歳,人口_30～34歳,人口_35～39歳,人口_40～44歳,人口_45～49歳,人口_50～54歳,人口_55～59歳,人口_60～64歳,人口_65～69歳,人口_70～74歳,人口_75～79歳,人口_80～84歳,人口_85～89歳,人口_90～94歳,人口_95～99歳,人口_100歳以上,人口_年齢「不詳」,人口_（再掲）15歳未満,人口_（再掲）15～64歳,人口_（再掲）65歳以上,人口_（再掲）75歳以上,人口_（再掲）85歳以上,人口_（再掲）20～69歳
111,1,北海道11区,332648,1919,0.005768860777759073,北海道11区,159851,22393,21295,539,167,13111,13177,677,938,7758,23554,2488,1826,4045,8330,4708,7050,21872,3446,9005,8931,5836,22932,26455,104628,北海道11区,332648,11188,13305,14255,13780,12582,14674,15876,18370,21295,24309,21618,22132,21459,24762,25587,19225,16305,11859,5870,1697,286,2214,38748,186095,105591,55242,19712,197077
112,1,北海道12区,335502,3324,0.009907541534774755,北海道12区,160526,17536,16266,6836,129,14215,14599,756,855,7142,22066,2601,1581,3098,8747,5049,7867,20347,3933,9579,10564,3026,24372,28943,104185,北海道12区,335502,10050,11988,12785,12591,12382,13196,14704,17438,20720,23535,21033,22770,22864,27092,28655,20956,18189,13108,6460,1861,309,2816,34823,181233,116630,60883,21738,195734
201,2,青森1区,390763,1518,0.003884707610495364,青森1区,183994,5795,5228,4724,158,18170,13110,1483,2920,9522,30387,5238,2502,4528,9454,6340,8228,27652,1645,14164,13920,4054,10519,31438,137983,青森1区,390763,10934,13208,15064,16060,12917,14214,16434,20128,24328,27434,25577,26332,28007,31265,32299,22906,18872,13619,6031,1585,205,13344,39206,211431,126782,63218,21440,226636
202,2,青森2区,451243,2757,0.00610979006876561,青森2区,221211,19784,19143,1013,219,22676,27550,966,2047,11643,33518,3817,2718,4647,10059,7889,10059,30040,2072,14624,12156,3714,20797,50445,146255,青森2区,451243,14825,17115,18595,19184,15783,17634,20121,24428,27912,32122,30611,30152,31880,36795,36453,26428,21661,16278,7258,1862,265,3881,50535,249827,147000,73752,25663,267438
203,2,青森3区,395978,1134,0.0028637954633843293,青森3区,197186,34727,34295,958,60,16270,19921,643,1164,6913,28908,3054,1719,2811,8929,6683,9258,29231,2570,10059,8261,5047,35685,36251,120203,青森3区,395978,11575,13197,14599,16846,15154,14280,16584,20293,23560,25770,25357,27726,29339,32639,33154,24537,22191,16813,7793,1790,244,2537,39371,214909,139161,73368,26640,230702
301,3,岩手1区,349934,1511,0.004317957100481805,岩手1区,172920,7270,6988,25,61,12961,11346,1135,4098,9637,32018,4916,3703,5581,9884,6444,10829,27976,1324,11106,8214,4392,7295,24368,136865,岩手1区,349934,11936,14042,15041,17155,15974,15342,17083,20005,23086,25700,22894,22818,22804,23750,24260,17627,14188,10918,5171,1386,193,8561,41019,202861,97493,49483,17668,209456
302,3,岩手2区,421572,2721,0.006454413480971222,岩手2区,209675,22097,20045,4440,404,25181,29699,964,1048,9006,28354,2696,1919,3599,9766,6105,8052,28750,3395,11504,10252,2444,26537,55284,125410,岩手2区,421572,11923,14552,16309,15980,12847,14886,16963,20497,23721,26613,26814,28673,31722,37137,35839,28164,25554,19055,9300,2438,364,2221,42784,218716,157851,84875,31157,239873
303,3,岩手3区,439028,2705,0.006161338228996784,岩手3区,222498,24053,23446,41,109,17947,49511,918,1412,11121,29049,3072,2144,3634,10366,7079,8645,28485,3223,11229,6643,3817,24094,67567,127020,岩手3区,439028,13485,16497,18662,19318,14471,16517,19469,23907,28087,29825,26662,28168,30815,35168,33928,25476,23653,18442,9391,2587,370,4130,48644,237239,149015,79919,30790,253089
401,4,宮城1区,546348,7258,0.013284573202427756,宮城1区,244661,1727,1614,34,35,20619,13879,2838,10141,11114,41945,7536,7930,11336,17110,8463,17871,35039,1306,18631,9964,7143,1761,34533,201224,宮城1区,546348,19756,21575,21715,27127,35874,29508,31286,34349,37753,41860,36458,32065,29648,31137,32375,24057,18607,13521,6823,1832,274,18748,63046,335928,128626,65114,22450,339938
402,4,宮城2区,550356,4249,0.007720457303999593,宮城2区,257529,2040,1965,52,22,23837,19168,2036,9370,17069,51219,6858,7940,9948,13378,8999,14200,30965,1548,20569,10885,7426,2092,43027,204984,宮城2区,550356,20624,22258,22737,26246,28796,29535,32579,35610,39264,44119,37512,33095,30397,32810,33451,24455,18100,12324,5706,1527,224,18987,65619,337153,128597,62336,19781,343717
